t,d_2,x_loc,y_loc,do,mf_xe,p_atm
0.0000,5.4643,0.000,0.000,2.338,0.5,1
0.0330,5.4610,0.000,0.000,,,
0.0660,5.4599,0.000,-0.030,,,
0.1000,5.4566,-0.030,-0.030,,,
0.1330,5.4766,-0.030,-0.059,,,
0.1660,5.4821,-0.030,-0.089,,,
0.2660,5.4855,-0.030,-0.148,,,
0.3000,5.4944,-0.030,-0.177,,,
0.3330,5.5022,-0.059,-0.177,,,
0.3660,5.5111,-0.059,-0.207,,,
0.4660,5.5300,-0.059,-0.266,,,
0.5000,5.5489,-0.059,-0.296,,,
0.5330,5.5656,-0.059,-0.296,,,
0.6330,5.5711,-0.030,-0.384,,,
0.6660,5.5856,0.000,-0.414,,,
0.7000,5.6523,0.000,-0.414,,,
0.7330,5.6935,0.059,-0.473,,,
0.7660,5.6612,0.148,-0.532,,,
0.8000,5.6768,0.236,-0.591,,,
0.9000,5.6434,0.473,-0.739,,,
0.9330,5.6901,0.562,-0.768,,,
0.9660,5.6912,0.621,-0.828,,,
1.0000,5.6957,0.709,-0.887,,,
1.0330,5.6924,0.798,-0.916,,,
1.0660,5.7101,0.857,-0.975,,,
1.1000,5.6801,0.946,-1.034,,,
1.2000,5.6712,1.153,-1.153,,,
1.2330,5.6868,1.212,-1.212,,,
1.2660,5.6857,1.300,-1.241,,,
1.3000,5.6857,1.360,-1.300,,,
1.3330,5.6779,1.419,-1.330,,,
1.3660,5.6579,1.507,-1.389,,,
1.4000,5.6723,1.566,-1.419,,,
1.5000,5.6412,1.773,-1.537,,,
1.5330,5.6434,1.832,-1.596,,,
1.5660,5.6312,1.921,-1.655,,,
1.6000,5.6201,1.980,-1.685,,,
1.6330,5.6201,2.039,-1.714,,,
1.6660,5.6201,2.098,-1.773,,,
1.7660,5.5845,2.305,-1.892,,,
1.8000,5.5934,2.364,-1.951,,,
1.8330,5.5822,2.453,-1.980,,,
1.8660,5.5722,2.512,-2.039,,,
1.9000,5.5622,2.571,-2.069,,,
1.9330,5.5622,2.630,-2.098,,,
1.9660,5.5411,2.690,-2.158,,,
2.0660,5.5177,2.896,-2.276,,,
2.1000,5.5177,2.956,-2.305,,,
2.1330,5.5111,3.015,-2.364,,,
2.1660,5.5033,3.074,-2.394,,,
2.2660,5.4821,3.251,-2.512,,,
2.3000,5.4710,3.310,-2.571,,,
2.3330,5.4566,3.369,-2.601,,,
2.3660,5.4454,3.428,-2.630,,,
2.4000,5.4332,3.458,-2.660,,,
2.4330,5.4065,3.517,-2.690,,,
2.5330,5.6879,3.724,-2.837,,,
2.5660,5.8381,3.813,-2.896,,,
2.6000,5.3376,3.783,-2.837,,,
2.6330,5.3220,3.842,-2.867,,,
2.6660,5.2931,3.872,-2.896,,,
2.7000,5.2697,3.931,-2.926,,,
2.7330,5.2641,3.990,-2.956,,,
2.7660,5.2519,4.020,-2.956,,,
2.8660,5.2174,4.197,-3.074,,,
2.9000,5.1919,4.256,-3.103,,,
2.9330,5.1696,4.315,-3.133,,,
2.9660,5.1696,4.374,-3.162,,,
3.0000,5.1496,4.433,-3.222,,,
3.0330,5.1307,4.492,-3.251,,,
3.0660,5.1251,4.552,-3.281,,,
3.1660,5.0895,4.729,-3.399,,,
3.2000,5.0795,4.788,-3.428,,,
3.2330,5.0639,4.847,-3.458,,,
3.2660,5.0484,4.906,-3.488,,,
3.3000,5.0395,4.995,-3.547,,,
3.3330,5.0295,5.054,-3.576,,,
3.3660,5.0106,5.113,-3.606,,,
3.4660,4.9716,5.290,-3.694,,,
3.5000,4.9627,5.350,-3.724,,,
3.5330,4.9494,5.409,-3.754,,,
