"","time","d2_bw1","k_bw1","UD2_1","UD2_2","U_K","do","mf_xe","p_atm","x_loc_fit","x_vel_fit","y_loc_fit","y_vel_fit","tot_vel_fit","x_acc_fit","y_acc_fit","tot_acc_fit","vRatio"
"1",0,3.05201419107297,-0.222793168748506,0.166087646447896,0.235606762005256,0.766375348320669,1.757,0.25,1,0.0305086756610566,-2.27468515628992,-0.00514867854115438,-6.0628676247772,6.47553522079968,3.4087090922157,0.50097995169774,3.44532706536796,1
"2",0.033,3.05903349817555,-0.214999915009689,0.167871813920047,0.236867865926991,0.724041677165316,1.757,0.25,1,-0.0398278287081588,-2.20189279267581,-0.204562495652139,-6.05169172850877,6.43982178692386,3.54479864447387,0.519331322493351,3.58263903462049,0.994484867635171
"3",0.067,3.06602521662563,-0.206891925972532,0.16968091657071,0.238153424179196,0.680027369554621,1.757,0.25,1,-0.110650247203038,-2.12005316037688,-0.409694105557097,-6.04034562375803,6.40159360294581,3.68811681134041,0.542697162159057,3.72783124938713,0.988581388976718
"4",0.1,3.07257274945332,-0.198950556296839,0.171481100413067,0.239439361423464,0.637082038931285,1.757,0.25,1,-0.177535143511819,-2.03373052424717,-0.608524047946774,-6.02923682686519,6.36299902244862,3.82980959763863,0.56990942524098,3.87198118631063,0.98262132866028
"5",0.133,3.07888034656219,-0.190942689669422,0.173371418654825,0.240796779061487,0.594073977600617,1.757,0.25,1,-0.242323128646226,-1.94041482169729,-0.807124696687648,-6.0177630754515,6.32286976874662,3.97360222297819,0.601776039838995,4.01891142333114,0.976424272767031
"6",0.167,3.08512325973684,-0.18262700970251,0.175359187053547,0.242231881642531,0.549864615157883,1.757,0.25,1,-0.306583660742021,-1.83678718590724,-1.01152748337579,-6.00526519553561,6.27988831389734,4.12344065330441,0.639654060406686,4.17275929551637,0.969786758896173
"7",0.2,3.09092982325847,-0.174496860157327,0.177332087403617,0.243663926798622,0.507217475396826,1.757,0.25,1,-0.366235806364232,-1.72882410113657,-1.209718451184,-5.99218305226819,6.23659286025317,4.26998309140214,0.681465546625175,4.32402022336822,0.963100755011104
"8",0.233,3.09648334066289,-0.166312577004416,0.179386031294055,0.245162779033506,0.464988969233743,1.757,0.25,1,-0.422904209260698,-1.61351709204453,-1.40770818814884,-5.97786615918304,6.19179466902978,4.41706395519727,0.728371163548057,4.476715150218,0.956182687284518
"9",0.267,3.10193650856429,-0.157827782072419,0.181568138324141,0.246763913193348,0.422086724812961,1.757,0.25,1,-0.477841598758293,-1.48701108794344,-1.61146751946371,-5.96151004358963,6.14416828997113,4.5685416859212,0.782121421003519,4.63500669397491,0.948827869893412
"10",0.3,3.10696497869412,-0.149545469518736,0.183712837271404,0.248346223201219,0.381198099367262,1.757,0.25,1,-0.527493625889253,-1.35677372893658,-1.80897648072795,-5.94377254803042,6.09666031973674,4.71485481090732,0.83961028024786,4.78902926600306,0.941491338067937
"11",0.333,3.11172983727304,-0.141220508121782,0.185945101471308,0.250002041514014,0.341213090044099,1.757,0.25,1,-0.573210317076112,-1.2192699887854,-2.00618307410195,-5.92390472552159,6.04807957145157,4.85977388942347,0.902351443263056,4.94283728070033,0.933989139928525
"12",0.367,3.11636025932334,-0.132602433451245,0.188309282138925,0.251765418077379,0.301136579238534,1.757,0.25,1,-0.615860392599655,-1.07012912277192,-2.20898222367655,-5.90090582103774,5.99715481275594,5.00682977634257,0.972446660278025,5.10039183949199,0.926124962380381
"13",0.4,3.12058111498128,-0.12420171923006,0.190657468627132,0.253526547610513,0.263505096906463,1.757,0.25,1,-0.652610067527471,-0.918300233840163,-2.40536377425475,-5.87584889917515,5.94717374938791,5.14651614946697,1.04567194322131,5.25167195182301,0.918406517238197
"14",0.433,3.12453021983808,-0.115768776571509,0.19307729151061,0.255351288418666,0.227315341521475,1.757,0.25,1,-0.684465565042986,-0.759726188914804,-2.60120424181492,-5.8478390411646,5.89698273132048,5.28225952775536,1.12384026416514,5.40048911284163,0.910655649339861
"15",0.467,3.12831246461199,-0.10704993673203,0.195606592743882,0.257269079224206,0.191777024131879,1.757,0.25,1,-0.711839411396017,-0.589580491849998,-2.80229805572414,-5.81564270414817,5.84545166934788,5.41687422463473,1.20927801356973,5.55021438141043,0.902697841959388
"16",0.5,3.13170337701848,-0.0985611844711329,0.198130697701676,0.259193389907522,0.159284105058885,1.757,0.25,1,-0.732807916737846,-0.418206268469464,-2.99668911340383,-5.78093800608866,5.79604526493949,5.54120423924947,1.29659498343277,5.69087892791082,0.895068139900213
"17",0.533,3.13481665791988,-0.0900493946007184,0.200713806849198,0.261173260997172,0.129201100669216,1.757,0.25,1,-0.747956864280882,-0.241078511173148,-3.19016398525989,-5.74264764744871,5.74770570326089,5.65790665927597,1.387760268654,5.82561467386353,0.887603187578846
"18",0.567,3.13773234037778,-0.0812584676662245,0.203433554336449,0.263269160803086,0.101500030058908,1.757,0.25,1,-0.757168560071637,-0.0530332774753247,-3.38838255672385,-5.69929415294235,5.69954089118436,5.76849109547031,1.48506720032245,5.95658577609639,0.880165221382351
"19",0.6,3.14027761961971,-0.0727081635759193,0.206156553188841,0.265378907267897,0.0791968332654179,1.757,0.25,1,-0.759608958554305,0.134347958529522,-3.57951520431432,-5.65332140383482,5.65491752981579,5.86459283599757,1.58200472946319,6.07422325043112,0.873274152173857
"20",0.633,3.14254143397694,-0.0641426384618732,0.208910708507686,0.267524062710597,0.0638754369927232,1.757,0.25,1,-0.755368011946681,0.325941056524103,-3.76923112335949,-5.60345403370924,5.61292567919978,5.94755411527224,1.6804463214182,6.18039641068918,0.866789460301419
"21",0.667,3.14457855662006,-0.0553040142606191,0.211802658614605,0.269788447114058,0.0585671164778163,1.757,0.25,1,-0.743732505567184,0.527057113031255,-3.96301490020407,-5.54799528099358,5.57297414656877,6.01684769267659,1.78224796640861,6.27525808000239,0.860619849409227
"22",0.7,3.14626847152227,-0.0467143490981685,0.214679004462448,0.272052412150651,0.0637412589651919,1.757,0.25,1,-0.725132795167144,0.725116869831697,-4.14926468916268,-5.49025795985845,5.53793525970678,6.06578837993481,1.88005747708749,6.35046492686203,0.855208885578864
"23",0.733,3.14767488594947,-0.0381157803929568,0.217608346707699,0.274369882743821,0.0752277870400351,1.757,0.25,1,-0.699105240112004,0.925171714973004,-4.33350079532003,-5.4287795810357,5.50704915918283,6.09391240597377,1.97534076052532,6.40607052192479,0.850439225701987
"24",0.767,3.14882706032943,-0.029249170517456,0.220714284168024,0.276839728427485,0.0896323802435901,1.757,0.25,1,-0.664305950754099,1.13242685561216,-4.52099363580752,-5.36170813819282,5.47999130861307,6.09806315698319,2.06905828147148,6.43951678611692,0.84626075247203
"25",0.8,3.14965704741771,-0.0206376803437738,0.223740786742422,0.279258625027264,0.10391317569363,1.757,0.25,1,-0.622607256252208,1.33368416501909,-4.70050075376925,-5.29323362804663,5.45866610932619,6.07498326488407,2.1537789154989,6.44547789426581,0.84296755761481
"26",0.833,3.15020301342674,-0.012021998655631,0.226831297085223,0.281740798141421,0.117435029316048,1.757,0.25,1,-0.572972868100507,1.53396558877146,-4.87736800570164,-5.22174182300596,5.44239268095059,6.02230757936817,2.23035082033896,6.42204432889575,0.840454494551957
"27",0.867,3.15046857774377,-0.0031421042432143,0.230064227846429,0.284350116818287,0.130028164984081,1.757,0.25,1,-0.51345060458863,1.73809715703135,-5.05662963968079,-5.14531975310981,5.43095729029629,5.9343019885797,2.2985790606979,6.36391434495624,0.838688557024882
"28",0.9,3.15043835423626,0.00547863428657419,0.233269230673201,0.286949427563233,0.140677367481282,1.757,0.25,1,-0.44752213686357,1.93284680709763,-5.22755936838158,-5.06890742448171,5.42491652080226,5.8138655332689,2.35241184134488,6.27175206064714,0.837755696761127
"29",0.933,3.15012479263803,0.0141005471792164,0.236509985403954,0.289590077861411,0.149634084206936,1.757,0.25,1,-0.373609982223164,2.12301972814665,-5.39531947541482,-4.99078625953093,5.42357449053874,5.65729312380187,2.39217107337741,6.1422673283503,0.837548450530854
"30",0.967,3.1495058400274,0.0229843148376117,0.239898644395275,0.292364155776133,0.157018320905592,1.757,0.25,1,-0.289245864716465,2.31284044725967,-5.56471642226284,-4.90908134595395,5.42662976401315,5.4573018795051,2.4167197706182,5.96847369548922,0.838020268437826
"31",1,3.14861843460543,0.0316069396062935,0.243241390014988,0.295113222029145,0.162368681560692,1.757,0.25,1,-0.199614931665069,2.48986063851326,-5.72569445085574,-4.82919238875919,5.43327756762595,5.22577607934002,2.42332886640397,5.76031756296032,0.839046871395903
"32",1.033,3.14744924194628,0.0402294906408239,0.246650039994204,0.297928988567985,0.165932390843577,1.757,0.25,1,-0.102662380669358,2.65854526888794,-5.88323862133307,-4.74933525110073,5.44279783512804,4.95859253275341,2.41216527590191,5.51418001375951,0.840517061453941
"33",1.067,3.14595057274137,0.049113241878276,0.250189761326088,0.300866011161787,0.167761199294918,1.757,0.25,1,0.00446353593741537,2.82241644642455,-6.04196240173662,-4.66773997570138,5.45470724033916,4.64848173039863,2.38178662792344,5.22314942719474,0.842356199811626
"34",1.1,3.14421128657256,0.0577358158741866,0.253772849155188,0.303852100483676,0.167789704435895,1.757,0.25,1,0.114961389676726,2.97077096617181,-6.19257439941201,-4.58982792753248,5.46735772908692,4.31723419652838,2.33429136755249,4.90789438520269,0.844309781765304
"35",1.133,3.14219227567251,0.0663588975926531,0.257255870623906,0.306767050007761,0.166153331454278,1.757,0.25,1,0.231311712314303,3.10767962546633,-6.33988628392214,-4.51376663639762,5.4801242597586,3.96073208147773,2.26995737713617,4.5650963971489,0.84628128377037
"36",1.167,3.13982028567235,0.0752444534041548,0.260880173920946,0.309812693647344,0.162797031555922,1.757,0.25,1,0.356638296795975,3.23599360487069,-6.48835391704084,-4.43790343356875,5.49241672640062,3.57271761751991,2.18760684653463,4.18926424202894,0.848179577304862
"37",1.2,3.13723559499218,0.0838706352267126,0.264452480965644,0.312826716712119,0.15799835792089,1.757,0.25,1,0.482865698632343,3.34761200462366,-6.62942375575889,-4.36718992251942,5.50262246141379,3.18223495814086,2.09409729390181,3.80944389709845,0.849755622321247
"38",1.233,3.13437338055853,0.0924997838930504,0.268055352569995,0.315878318409834,0.15177097700421,1.757,0.25,1,0.612886093850527,3.44616681008764,-6.76771826255012,-4.29975828669275,5.51035271166308,2.78460956747767,1.98960219008362,3.42236282677242,0.850949384687709
"39",1.267,3.13113489629328,0.101394826247414,0.271769451407068,0.319036165219711,0.14396495738218,1.757,0.25,1,0.750042100431257,3.53392401592924,-6.90754737855633,-4.23405132711968,5.51505299984011,2.37440848449081,1.87325548906702,3.02438452888214,0.851675237920957
"40",1.3,3.1277113069498,0.110034004070853,0.275415682562736,0.322147851461868,0.13515178096314,1.757,0.25,1,0.885525462636397,3.60582369045675,-7.0409413192275,-4.17416605595894,5.51594296103386,1.98230992996899,1.75477446870388,2.64741120615378,0.851812672304897
"41",1.333,3.12401214645008,0.11868052212642,0.279052146730494,0.325262264326647,0.125243205775584,1.757,0.25,1,1.02263348199457,3.66495118065504,-7.17230537108993,-4.11824571074886,5.51287718806488,1.60214860631034,1.63365812490329,2.28816936125032,0.851339232988386
"42",1.367,3.1199132177511,0.127598708287979,0.282850340768314,0.328526643170308,0.114033329701125,1.757,0.25,1,1.16490905901667,3.71302818055566,-7.30579388673382,-4.06482041377105,5.50539219909085,1.22848511767513,1.50894919121597,1.94579118767164,0.850183345680416
"43",1.4,3.11565608158194,0.136266099449736,0.286541695633381,0.331710089289508,0.102343630534975,1.757,0.25,1,1.30337614773803,3.74789049427889,-7.43380220781882,-4.01698687067599,5.49389358072118,0.88778450481911,1.39048416212188,1.64972953301707,0.848407644062312
"44",1.433,3.11112468115912,0.144947143961198,0.290271119051083,0.334936953104861,0.0900495565997219,1.757,0.25,1,1.44168421346547,3.7719118707347,-7.56050544024193,-3.97299223388724,5.47831967405314,0.572162860240215,1.27667975450718,1.39902878247975,0.84600260631068
"45",1.467,3.10616934107316,0.153908185960686,0.294098784051854,0.338259567168143,0.0770146208070025,1.757,0.25,1,1.58354144282388,3.78624337302921,-7.68989460059088,-3.93148535195083,5.45822461542318,0.275714095475356,1.16609387315865,1.1982458777154,0.842899378863873
"46",1.5,3.10108164386917,0.162624902707104,0.297830724185019,0.341509268203036,0.0643776899909907,1.757,0.25,1,1.72021878592404,3.7909988542054,-7.81453647142839,-3.89466899433537,5.43508223378671,0.0172812535109653,1.06652339844724,1.0666633963713,0.839325561280094
"47",1.533,3.09571993911298,0.171363539752773,0.301554827939417,0.344761880511131,0.0523629660464785,1.757,0.25,1,1.85559912604893,3.78770880883814,-7.93839739134376,-3.86100057048448,5.40870256400105,-0.211850203897867,0.975426107016448,0.998166618927336,0.835251817738258
"48",1.567,3.08990894138471,0.180393248318146,0.305421832768486,0.34814930120806,0.0418239623190016,1.757,0.25,1,1.99348043024412,3.7769213472414,-8.06531831955692,-3.82930067502293,5.37853869772998,-0.417689956116034,0.890847100684878,0.983907239651618,0.830593690611688
"49",1.6,3.08399007252422,0.189186328406133,0.309155508870532,0.351429322431975,0.0354819545676687,1.757,0.25,1,2.12557825139245,3.76023282837654,-8.18792577428898,-3.80113245253709,5.3467708801978,-0.589228322868216,0.817778937722684,1.00794464503411,0.825687869478921
