"","time","d2_bw1","k_bw1","do","mf_xe","p_atm","x_loc_fit","x_vel_fit","y_loc_fit","y_vel_fit","tot_vel_fit"
"1",1.467,5.07232159013737,0.653357492918357,2.25,0.4,0.7,-0.159258130561062,-0.256069601699341,2.86226881352159,1.88538626967722,1.90269625184942
"2",1.5,5.05089133813108,0.654920834063319,2.25,0.4,0.7,-0.167704939002836,-0.254687372193512,2.92444609257631,1.88280348016148,1.89995121054806
"3",1.533,5.02939876255868,0.656462031767533,2.25,0.4,0.7,-0.176101115748534,-0.253336019221492,2.98653569557937,1.8802395759198,1.89722955951304
"4",1.567,5.00719075978509,0.658027089373791,2.25,0.4,0.7,-0.184700916662745,-0.251972629078978,3.05041621719226,1.87761908555106,1.89445074790309
"5",1.6,4.98557466523037,0.659524233245338,2.25,0.4,0.7,-0.19300034328182,-0.250674374793328,3.11233132799148,1.87509677506462,1.89177841145198
"6",1.633,4.96389915046747,0.661000085516974,2.25,0.4,0.7,-0.201254697391689,-0.24939801376113,3.17416270904657,1.87259515004665,1.88912994927459
"7",1.667,4.94150559469418,0.662498645998581,2.25,0.4,0.7,-0.20971360456132,-0.248103159894815,3.23778200471567,1.87003846081234,1.88642493168087
"8",1.7,4.91971214579138,0.663931988951638,2.25,0.4,0.7,-0.217880853735816,-0.246863485717931,3.29944879630616,1.86757546301565,1.88382050382698
"9",1.733,4.89786187744906,0.665344703800192,2.25,0.4,0.7,-0.226007100115486,-0.245638295994484,3.3610374026589,1.86512830085164,1.88123410321438
"10",1.767,4.87529089015296,0.666778835279256,2.25,0.4,0.7,-0.234337870563099,-0.244388738216723,3.42441262734209,1.86262024161528,1.87858457883645
"11",1.8,4.85332767097172,0.668150174047364,2.25,0.4,0.7,-0.242384138721662,-0.243186037224052,3.48584850335066,1.86019484209772,1.87602353377235
"12",1.833,4.83130994372884,0.66950133075191,2.25,0.4,0.7,-0.250392421972487,-0.241991061771922,3.54721201075931,1.85777355081572,1.8734679714604
"13",1.867,4.80856874320518,0.670872422065468,2.25,0.4,0.7,-0.258604499236239,-0.240765618012597,3.61036114618039,1.85527758042739,1.87083483590976
"14",1.9,4.78644247648341,0.672182862449373,2.25,0.4,0.7,-0.266538035877384,-0.239579498614612,3.67158282167035,1.85284765266553,1.86827266750456
"15",1.933,4.76426373976277,0.673473317145902,2.25,0.4,0.7,-0.274435740815159,-0.238394317175845,3.73273670307633,1.85040386707239,1.86569727494527
"16",1.967,4.74135869138935,0.67478197726803,2.25,0.4,0.7,-0.282535846706914,-0.237171753094183,3.7956738531071,1.84786408619871,1.86302230838194
"17",2,4.71907529064267,0.676031833271499,2.25,0.4,0.7,-0.290362314098914,-0.235981292570686,3.85669271978213,1.84537004306647,1.8603972065907
"18",2.033,4.69674120423072,0.677261614881014,2.25,0.4,0.7,-0.298154238156354,-0.234784589509483,3.9176456170155,1.84283958319434,1.85773559282774
"19",2.067,4.6736778817185,0.678507562360174,2.25,0.4,0.7,-0.306146382420582,-0.233542482342658,3.98037633057698,1.84018586116723,1.85494638593641
"20",2.1,4.65124251481049,0.679696245688331,2.25,0.4,0.7,-0.31386873113761,-0.232325456503065,4.04119409298525,1.83755661459584,1.85218504193946
"21",2.133,4.62875801679946,0.680864442353648,2.25,0.4,0.7,-0.321556858343784,-0.231094573146421,4.10194371419466,1.83486635098128,1.84936184336681
"22",2.167,4.60554127711849,0.682046385228876,2.25,0.4,0.7,-0.329442032274551,-0.229809174640214,4.16446112363078,1.83202224890161,1.84637964059922
"23",2.2,4.58295844412885,0.683172285907013,2.25,0.4,0.7,-0.337060164633053,-0.228542218315446,4.22506649219695,1.82918360139929,1.84340559649271
"24",2.233,4.5603278342373,0.68427692302322,2.25,0.4,0.7,-0.344643321959966,-0.227253573904458,4.28559681927338,1.82626039005787,1.84034540213154
"25",2.267,4.53696190958797,0.685392430706066,2.25,0.4,0.7,-0.352419169115388,-0.225900478420473,4.347879376328,1.82315275685486,1.83709471747596
"26",2.3,4.51423553845549,0.686452790644432,2.25,0.4,0.7,-0.359929673583981,-0.224559917326346,4.40824652745327,1.82003690299545,1.83383791124921
"27",2.333,4.49146258039515,0.687490702708561,2.25,0.4,0.7,-0.367403346289658,-0.223189971717633,4.46852697270941,1.81681707078023,1.83047481057615
"28",2.367,4.46795119118938,0.688536072564092,2.25,0.4,0.7,-0.375064083517228,-0.221745187036016,4.53053834403801,1.81338558210284,1.82689304485843
"29",2.4,4.4450847551407,0.68952685516789,2.25,0.4,0.7,-0.382460289201668,-0.220308092953047,4.5906275791036,1.80993992949861,1.82329871502561
"30",2.433,4.42217280218311,0.690493555004007,2.25,0.4,0.7,-0.389816824241006,-0.218834354318092,4.65061439448495,1.80637746436978,1.81958457303111
"31",2.467,4.39851929544156,0.691463677787695,2.25,0.4,0.7,-0.397353624129667,-0.217275222074559,4.71230568073742,1.80258220753218,1.81562968058994
"32",2.5,4.37551595658208,0.69237943813759,2.25,0.4,0.7,-0.404626152692242,-0.215720125035559,4.77206628942251,1.7987757436595,1.81166480021089
"33",2.533,4.35246810477387,0.69326898851393,2.25,0.4,0.7,-0.411855497515835,-0.214121618342832,4.83170607663877,1.79484754454412,1.80757455602744
