"","time","d2_bw1","k_bw1","UD2_1","UD2_2","U_K","do","mf_xe","p_atm","x_loc_fit","x_vel_fit","y_loc_fit","y_vel_fit","tot_vel_fit","vRatio"
"1",1.5,3.8525397114458,0.322580815959138,0.0846713222260137,0.187335722187471,0.753632478735927,1.919,0.35,1,-0.274355818435291,-0.554942038554118,0.0501834963429792,0.473402995861396,0.729432013723791,1
"2",1.533,3.84208873246235,0.325385549481583,0.0846038679270453,0.187305244102286,0.718290774878677,1.919,0.35,1,-0.292654114458795,-0.555733002474425,0.0657700683247424,0.469229330571272,0.727334403632609,0.997124324060753
"3",1.567,3.83120340859597,0.328227414733307,0.0845379017271493,0.187275457090429,0.681390213752271,1.919,0.35,1,-0.31153834499152,-0.556529406865824,0.0816946014366669,0.4648308582655,0.725115651122128,0.99408257038291
"4",1.6,3.82052639053332,0.330939848193969,0.0844482592624874,0.18723500872557,0.645226252624654,1.919,0.35,1,-0.329897180977196,-0.557281803554662,0.0970120003224726,0.46048242742297,0.722915675952934,0.991066559119622
"5",1.633,3.809741468558,0.333607743298775,0.0843346949549614,0.187183815467968,0.608841819398576,1.919,0.35,1,-0.348284846304477,-0.558011863058536,0.112185230104681,0.456072198716133,0.720679602705548,0.988001059929408
"6",1.667,3.79851922506283,0.33631058279808,0.0842921148480928,0.187164635082496,0.571252251337807,1.919,0.35,1,-0.367258844452447,-0.558739052227941,0.127660493711975,0.451481207872765,0.718348529299552,0.984805322201781
"7",1.7,3.78752204399569,0.338890064470234,0.0842000353447576,0.187123183897823,0.534791622435946,1.919,0.35,1,-0.385701866219774,-0.559419512182311,0.142521569289974,0.446996843839015,0.716070086662148,0.981681737557103
"8",1.733,3.77642361139166,0.341427040181091,0.0841883927619431,0.187117945360244,0.49847312704225,1.919,0.35,1,-0.404170227418395,-0.560074427379103,0.157221040471163,0.44250181428692,0.713786536613886,0.978551151011272
"9",1.767,3.76488520922432,0.343997193630142,0.0839701685721758,0.187019863143035,0.461324567657602,1.919,0.35,1,-0.423223197815841,-0.560722364864794,0.172192715116574,0.437877681642248,0.711439691428555,0.975333791283188
"10",1.8,3.75358770851026,0.346450094471867,0.083936276174487,0.187004648225759,0.425646135633984,1.919,0.35,1,-0.441738414249043,-0.561325581633203,0.186552773939735,0.433414233137102,0.709178613666315,0.972234012661329
"11",1.833,3.74219528235373,0.348862718835909,0.0838967549645942,0.186986912626497,0.390449059276852,1.919,0.35,1,-0.460274270790757,-0.561904338515907,0.200741993864475,0.428992557014152,0.706944905644379,0.969171756028894
"12",1.867,3.7303604646405,0.351307140130158,0.0838068025566409,0.186946570320955,0.354798784698493,1.919,0.35,1,-0.479391635485637,-0.562476375195362,0.215181320244538,0.424498670332804,0.704683470621549,0.966071487627889
"13",1.9,3.71878142963418,0.353640371023324,0.083728423547204,0.18691144670592,0.320894174772726,1.919,0.35,1,-0.497964220708015,-0.563009762382955,0.229021235145036,0.420214193296317,0.702538227277481,0.96313050984832
"14",1.933,3.70711340272974,0.355935693524903,0.0836269355769692,0.186866006416348,0.287771292635598,1.919,0.35,1,-0.516552340404669,-0.563523756373243,0.242689884710481,0.416022419100014,0.700452480323139,0.960271097435511
"15",1.967,3.69500068821358,0.358261768318658,0.083604780526625,0.186856092560305,0.254555740173234,1.919,0.35,1,-0.535718244209014,-0.56403566003842,0.256595545032268,0.411817417153464,0.698376553777349,0.957425148112293
"16",2,3.68315765529812,0.360482594007744,0.0834905868820844,0.18680502696104,0.223286060328197,1.919,0.35,1,-0.554332899552056,-0.564518282269889,0.269923115208795,0.407862232836312,0.696442741358661,0.954774027264423
"17",2.033,3.67123111554943,0.362667951192604,0.0833967580914676,0.18676311000882,0.193048230671116,1.919,0.35,1,-0.572958306409325,-0.564990122220834,0.283087910871803,0.40404600563925,0.694598454418195,0.952245639552111
"18",2.067,3.65885762429578,0.364883288571084,0.083390453040089,0.186760294651276,0.163047941970225,1.919,0.35,1,-0.592157891143877,-0.565468710915186,0.296486358459598,0.400273921060881,0.692801612949576,0.949782296245521
"19",2.1,3.64676672411568,0.366999118315893,0.0832169407941575,0.186682884151543,0.135116760574711,1.919,0.35,1,-0.610800966907228,-0.565929825680742,0.309336054788777,0.396780883443743,0.691166866293106,0.947541173528512
"20",2.133,3.63459731086774,0.369081918132095,0.0831897649319123,0.186670771652733,0.108416429530651,1.919,0.35,1,-0.62945097357895,-0.56639174546612,0.322039900486316,0.393465163854505,0.689648058432133,0.945458994747765
"21",2.167,3.62197863086113,0.371194122639808,0.0831909443654774,0.18667129726988,0.0822592152459405,1.919,0.35,1,-0.648672373384423,-0.56687311524245,0.334983842432532,0.39024542585077,0.688212627886272,0.943491120403269
"22",2.2,3.60965447384717,0.37321228419814,0.0831017834124626,0.186631579338363,0.0582610850406224,1.919,0.35,1,-0.667333704220871,-0.567350323107925,0.347414694045285,0.387320432260412,0.686952331954015,0.94176334329924
"23",2.233,3.59725627895975,0.375199776198216,0.0830312322187337,0.186600175572697,0.0357849213270559,1.919,0.35,1,-0.685999641970962,-0.567842208081283,0.35972392756313,0.384600358662794,0.685829577345696,0.940224125678963
"24",2.267,3.58440638118916,0.377216208117494,0.0829817008800415,0.186578140951572,0.0150570588876272,1.919,0.35,1,-0.705235648981099,-0.568369577037308,0.37228881628473,0.382018898156476,0.684822907509858,0.938844052119127
"25",2.3,3.57186199231817,0.37914371321563,0.0829254209760557,0.186553116950793,0.0107342325915918,1.919,0.35,1,-0.723910050483862,-0.568906619779595,0.384380359884122,0.379732909583677,0.683996947836706,0.937711719485499
"26",2.333,3.55924751244078,0.381042753239243,0.0828626630189766,0.186525228649093,0.0270834770461973,1.919,0.35,1,-0.742588640160211,-0.56947371033432,0.396380080618452,0.377666607273789,0.683324500520529,0.936789841498895
"27",2.367,3.54617872059964,0.382970286451472,0.0827125356765035,0.186458584028832,0.044377811110265,1.919,0.35,1,-0.761837977355977,-0.570094971582179,0.40865867362994,0.375769419194933,0.682796406716806,0.936065862027487
"28",2.4,3.53342552876477,0.384813597202999,0.0827722050534866,0.186485060874635,0.0600233436101515,1.919,0.35,1,-0.78052633730117,-0.570739300317217,0.420505096821724,0.374153286937516,0.682447090295456,0.935586973776385
"29",2.433,3.52060567358648,0.386630416358471,0.0826508095381853,0.186431210684578,0.0743747093520614,1.919,0.35,1,-0.79922062957836,-0.571429730106723,0.432292780660443,0.372757871445387,0.682261216231978,0.935332153505297
"30",2.467,3.50732869263329,0.388475204231616,0.0826411500977986,0.186426928552414,0.0877741145360693,1.919,0.35,1,-0.81848875183015,-0.572194916260191,0.444388059010927,0.3715482334156,0.682242707508304,0.9353067793466
"31",2.5,3.49437657805656,0.390240010910368,0.082591587559147,0.186404963280327,0.0994369258074496,1.919,0.35,1,-0.837198635260698,-0.57299526713995,0.456090895042712,0.370591379244907,0.682393981901529,0.935514165902687
"32",2.533,3.4813607372485,0.391979999473999,0.0825354809275165,0.18638011055887,0.109795980889672,1.919,0.35,1,-0.855918436490831,-0.573857714325687,0.46776872625346,0.36984305409367,0.682712648888561,0.935951035934487
"33",2.567,3.46788474284903,0.393747259881924,0.0825163125940257,0.186371622958311,0.11913443022643,1.919,0.35,1,-0.875217772432729,-0.574816701724227,0.479785687290248,0.369283144540927,0.683216130827687,0.936641274270142
"34",2.6,3.45474214371281,0.395438280927601,0.0824324325912478,0.186334500141307,0.126937862253481,1.919,0.35,1,-0.89396345698359,-0.575821034933394,0.49144562846822,0.368936610536024,0.683874320957861,0.937543606657246
"35",2.633,3.44153831294249,0.397105798074636,0.082480706557661,0.186355861067612,0.133539408734482,1.919,0.35,1,-0.912725161091274,-0.576902873939018,0.503112177282573,0.368775153264801,0.684698502718223,0.938673501897455
"36",2.667,3.4278711013287,0.398799628760437,0.0823459705209224,0.186296266363641,0.139130075222055,1.919,0.35,1,-0.93207472176232,-0.57810375198585,0.515149208872202,0.368792124723939,0.685719752755099,0.940073563887691
"37",2.7,3.4145451783278,0.400420443798343,0.0822606396374293,0.186258564456937,0.143429607672388,1.919,0.35,1,-0.950876603341626,-0.579357983672573,0.526857777934287,0.36897580072907,0.686876127674275,0.941658872590106
"38",2.733,3.40116014220059,0.402018663776949,0.0822811187306535,0.186267609904588,0.146670343787321,1.919,0.35,1,-0.969702386784702,-0.580704373557788,0.538599810880635,0.369313004392414,0.688193043180831,0.94346427114923
"39",2.767,3.38730833734291,0.403641898740016,0.0822091842020197,0.186235845011538,0.148958146230577,1.919,0.35,1,-0.989126720728734,-0.582192923445898,0.55074050376613,0.369808824856138,0.689715279700224,0.94555115037958
"40",2.8,3.37380519227498,0.405194824660168,0.0821607464711702,0.186214468451568,0.150215294228853,1.919,0.35,1,-1.00801010023769,-0.583740864465457,0.562572455398758,0.370421970856119,0.69135073106189,0.947793239197861
"41",2.833,3.36024475946406,0.406725629064002,0.0821379554289243,0.186204413809243,0.150581206026746,1.919,0.35,1,-1.02692652873363,-0.585395157927217,0.574457787089012,0.371152970960774,0.693139249197187,0.950245171799731
"42",2.867,3.3462140717862,0.408279745433919,0.0821338720099949,0.186202612579293,0.150087820665743,1.919,0.35,1,-1.04645412303925,-0.587215791530398,0.58676415565252,0.372016767340215,0.695139454357854,0.952987312428377
"43",2.9,3.33253901372713,0.409765764169383,0.0819950517981504,0.186141420751485,0.148824997678548,1.919,0.35,1,-1.0654475287349,-0.589100576748386,0.598771577702309,0.372950478869099,0.697231345547495,0.955855148155742
"44",2.933,3.31880829701533,0.411229688340167,0.0820373622175998,0.186160062310963,0.146850317667994,1.919,0.35,1,-1.08448379822774,-0.591106264895691,0.610843953800186,0.373966529250634,0.699469499977448,0.958923500500913
"45",2.967,3.30460382531367,0.412714771303236,0.0820124210525622,0.18614907253839,0.144134497957367,1.919,0.35,1,-1.10414523709318,-0.593304560726822,0.623352095125715,0.375087902232369,0.701926802580102,0.962292289581214
"46",3,3.29076167549491,0.414133515894885,0.0819621639991342,0.186126936060907,0.140898371436407,1.919,0.35,1,-1.12327867551983,-0.595571607064805,0.635561204011889,0.376238017745482,0.704457653190598,0.965761907808656
"47",3.033,3.27686540709502,0.415529755234214,0.0818970774572722,0.186098283968559,0.137130544999376,1.919,0.35,1,-1.14246497849885,-0.597975732638048,0.647838184874848,0.377439227687109,0.707131775145942,0.969427940975603
"48",3.067,3.26249197298749,0.416944526060314,0.081926555394233,0.186111258334267,0.132753673214208,1.919,0.35,1,-1.16229147484309,-0.60060237606731,0.660557321776193,0.378721042482179,0.710037211811104,0.973411090344561
"49",3.1,3.24848739732321,0.418294328972796,0.0818851156074007,0.186093020175496,0.128083380820873,1.919,0.35,1,-1.18159531688916,-0.603303549093079,0.672968786152748,0.380000092972883,0.713004377972327,0.977478866512042
"50",3.133,3.23443026778466,0.419620808159416,0.0818042880811018,0.186057468402792,0.12305299934263,1.919,0.35,1,-1.20096214583765,-0.606161123071654,0.685443345884137,0.381306785581697,0.716118825233729,0.981748554711634
"51",3.167,3.21989277001859,0.420962717359652,0.0817568137303741,0.186036600139174,0.11755001064375,1.919,0.35,1,-1.22098538327705,-0.609276604994671,0.698358823414615,0.382676123655227,0.719485230570874,0.986363659716362
"52",3.2,3.20573062642654,0.422240721958593,0.0818425908385151,0.186074312238849,0.111950885933443,1.919,0.35,1,-1.24049087664316,-0.612474790413531,0.710951965076698,0.38402311132597,0.722910173482555,0.991059015619644
"53",3.233,3.19151763377106,0.423494226909295,0.0817001205911596,0.186011692386823,0.106147418108307,1.919,0.35,1,-1.26007031179287,-0.615853219711196,0.72359791541688,0.38538465001175,0.72649605414849,0.995975005867494
"54",3.267,3.17682140815695,0.42475961121685,0.0817697754189036,0.186042296728615,0.100003970759414,1.919,0.35,1,-1.28032469984043,-0.619532060476886,0.736677978923915,0.386800795578713,0.730366229654043,1.00128074434995
"55",3.3,3.16250709445469,0.425961944020535,0.0816849620960398,0.186005034965808,0.0939275523983701,1.919,0.35,1,-1.3000671598143,-0.623304729067048,0.749418384959301,0.388187771265466,0.734301389783102,1.00667557218178
"56",3.333,3.14814388897892,0.427138313105359,0.0816668587713427,0.185997085519044,0.0877815273307862,1.919,0.35,1,-1.31989712656608,-0.627286627804862,0.762198854677259,0.389587893834228,0.73842212889714,1.01232481575281
"57",3.367,3.13329505864463,0.428322611539493,0.0816337014791038,0.185982529333213,0.0814179419391873,1.919,0.35,1,-1.34042535843058,-0.631619226210506,0.775404107908499,0.391046453240812,0.742872920162646,1.01842653761553
"58",3.4,3.11883484592879,0.429444609550029,0.0815594800481006,0.18594996312373,0.0752486194417225,1.919,0.35,1,-1.36045072021483,-0.636058943025885,0.788253311844289,0.392481122350359,0.747403780030984,1.02463802790262
"59",3.433,3.10432805540329,0.430538977315166,0.0815125172620873,0.185929369574584,0.0691204652133045,1.919,0.35,1,-1.38058266472138,-0.640741099217893,0.80113071455967,0.393939139723622,0.752155038561294,1.0311516692577
