"","time","d2_bw1","k_bw1","UD2_1","UD2_2","U_K","do","mf_xe","p_atm","x_loc_fit","x_vel_fit","y_loc_fit","y_vel_fit","tot_vel_fit","x_acc_fit","y_acc_fit","tot_acc_fit","vRatio"
"1",0,8.42027136634668,-0.0402082498141828,0.12880537794848,0.210988780243052,0.858414079141141,2.9,0.7,1,-0.0103844161969873,-0.414131686178341,-0.00368382139955006,-1.65092065780331,1.7020705249368,0.0232530794725139,0.0550797078011101,0.0597869543998582,1
"2",0.033,8.42187915935638,-0.0384765901936314,0.128887039188491,0.211038643074617,0.818260914890325,2.9,0.7,1,-0.0241190155092962,-0.412791242666303,-0.0579232539444873,-1.65059649190602,1.70143039502486,0.0221312976734578,0.0580021961714639,0.062080988212368,0.999623911052707
"3",0.067,8.42344770559074,-0.0367587342701393,0.129410540839708,0.211358766272955,0.776332890406737,2.9,0.7,1,-0.0382021405420949,-0.411535970032585,-0.113823192864497,-1.65016295734028,1.70070563014553,0.0211025687904757,0.0611488932108182,0.0646877542543008,0.999198097392982
"4",0.1,8.42488825913917,-0.0351541111983717,0.128939296969127,0.211070562378776,0.735238201697684,2.9,0.7,1,-0.0518129995938013,-0.410429708867016,-0.168093878991793,-1.64963325841652,1.69992424336927,0.0202267796992391,0.0643275710914553,0.0674326257795719,0.998739017252173
"5",0.133,8.42625153324286,-0.0336097027782335,0.129290343083037,0.211285193079234,0.693889443801863,2.9,0.7,1,-0.0653736153170758,-0.409424135996188,-0.222376914625283,-1.64898466868654,1.69905225366952,0.0194711017756369,0.0676211818497559,0.0703686580738539,0.998226706107025
"6",0.167,8.42757868895777,-0.0320798869037433,0.129059735817045,0.211144157885473,0.651167436630841,2.9,0.7,1,-0.0792992849039608,-0.408483375942914,-0.278314600194244,-1.64818055583155,1.69804529181142,0.0188172600828936,0.0711259489755912,0.0735730242324295,0.997635096157057
"7",0.2,8.42879484949552,-0.0306531533534158,0.129147263261604,0.211197669513567,0.609724933461307,2.9,0.7,1,-0.092776773735128,-0.407653203161921,-0.332612613599414,-1.64725770306291,1.69694993277594,0.0183027559603316,0.0746263704087786,0.0768380507049189,0.996991551122097
"8",0.233,8.4299431643018,-0.0292822033368624,0.129148393628903,0.211198360734467,0.568440436133973,2.9,0.7,1,-0.106221533150134,-0.406895473628016,-0.386911567121865,-1.64618494688545,1.69572663062512,0.0179055425278868,0.0782141288084794,0.0802375124146267,0.996272836983697
"9",0.267,8.43105839235585,-0.0279265927211774,0.129135241257261,0.211190318278492,0.526208617355582,2.9,0.7,1,-0.120044465439775,-0.406181104084699,-0.442851464653962,-1.64491364855855,1.69432110313532,0.0176178337189221,0.0819908203467913,0.0838622840500269,0.995447061864977
"10",0.3,8.4320778206193,-0.026664684955888,0.128948515854805,0.211076194160206,0.485644368286085,2.9,0.7,1,-0.133436782283014,-0.405543167352666,-0.49713576356796,-1.64351048199421,1.69280594428637,0.0174554088887728,0.0857227729978296,0.0874819130444212,0.994556876160715
"11",0.333,8.43303794269422,-0.0254544871681541,0.129054972332158,0.211141246287063,0.445623611791798,2.9,0.7,1,-0.146809168658771,-0.404951240680583,-0.551403429928605,-1.64193351081755,1.69113309981041,0.0174069097017439,0.0895080618908278,0.0911849420069834,0.993574047040857
"12",0.367,8.43396791432567,-0.0242603629437264,0.129008287267298,0.211112714405461,0.405083425616309,2.9,0.7,1,-0.160569376033982,-0.404380774530435,-0.607290807480465,-1.64012059604979,1.68923633053417,0.0174748835337484,0.0934506021003464,0.0950704296163394,0.992459657684801
"13",0.4,8.43481564534502,-0.023151295556342,0.128888288221655,0.211039405895459,0.366524111170508,2.9,0.7,1,-0.173910859758874,-0.403857110032136,-0.66150273526498,-1.63817323269579,1.68722023033287,0.0176541627801922,0.0973050204836767,0.0988935613414659,0.991275159056945
"14",0.433,8.43561179832427,-0.0220902161837217,0.128770882502507,0.210967723077428,0.328849346650552,2.9,0.7,1,-0.187240941131379,-0.403355181486393,-0.715675424179266,-1.63603689680981,1.68502585444705,0.0179439271502447,0.101173047608068,0.102751983357392,0.989985919948655
"15",0.467,8.43638065153165,-0.0210459567324908,0.128830541899019,0.211004143385846,0.291063973019941,2.9,0.7,1,-0.200965109776071,-0.402852848201683,-0.771439875462743,-1.63363514403148,1.68257368371164,0.0183568872758356,0.105157550714948,0.106747767109315,0.988545221282248
"16",0.5,8.43707934591694,-0.0200788005439833,0.128715239439341,0.210933764162893,0.255486418997519,2.9,0.7,1,-0.214277668704141,-0.402372224544698,-0.82550695311033,-1.63110745548258,1.68000444595123,0.0188676869778345,0.109009173135642,0.110629966282242,0.987035743429967
"17",0.533,8.43773346213343,-0.0191562519942654,0.128640530340512,0.210888183752168,0.221076106033412,2.9,0.7,1,-0.227583593357319,-0.40189136413739,-0.879508631238082,-1.62838549600176,1.67724655079601,0.0194858306736812,0.112830219787782,0.114500463293397,0.985415425637716
"18",0.567,8.43836306112749,-0.018251301656739,0.128566239529192,0.210842875019948,0.186927229264832,2.9,0.7,1,-0.24128666944461,-0.401388557204004,-0.935068683376371,-1.62537841447786,1.67420660735313,0.0202339830678188,0.116718949458901,0.118459812736549,0.983629398914179
