,time,x_acc,y_acc,z_acc
1,0.001153942,3.489176132,-4.135611999,6.603142193
2,0.003153942,1.359997634,-5.335804897,1.555482141
3,0.005153942,2.853218911,-10.1573545,4.955547796
4,0.007153942,-1.142365502,-0.942682828,2.026979024
5,0.009153942,-3.411367597,4.405332112,0.409316912
6,0.011153942,-0.421067751,-2.325280485,3.57787452
7,0.013153942,-2.342439046,5.717122221,-7.459798165
8,0.015153942,0.864828689,4.706443665,-6.158424516
9,0.017153942,0.533108836,1.613514621,-1.668354016
10,0.019153942,-0.632249844,2.499557422,-9.22160055
11,0.021153942,0.605431585,-2.265498284,-2.142809726
12,0.023153942,-1.55797957,2.036136748,3.57201097
13,0.025153942,2.108778138,0.495092436,3.565696813
14,0.027153942,2.4805163,-4.406035409,7.329775751
15,0.029153942,-0.193974657,-2.544942726,1.139553714
16,0.031153942,-1.601373162,-3.334476397,1.734363601
17,0.033153942,-4.676049394,-1.786206215,5.55073642
18,0.035153942,1.919774886,-2.09598106,-1.945826445
19,0.037153942,2.41783689,-1.06996893,-2.953759364
20,0.039153942,-1.231081261,2.322639899,-2.193880184
21,0.041153942,0.010457335,1.910418082,-4.703907329
22,0.043153942,-4.423884507,6.118891238,-2.892633416
23,0.045153942,0.722112088,6.094791816,-2.878965798
24,0.047153942,2.053330659,0.513139344,-1.707808815
25,0.049153942,0.125209228,-0.969467322,0.091224404
26,0.051153942,4.56292621,-2.934894199,1.324351214
27,0.053153942,-1.422495187,-3.150751311,4.445069332
28,0.055153942,-0.48085446,-2.818400065,2.368550764
29,0.057153942,1.064439155,-4.856293985,1.926498412
30,0.059153942,-1.994326147,-2.060118199,3.165972488
31,0.061153942,-0.947576535,1.190182665,1.153559691
32,0.063153942,-3.989948872,0.964431571,0.64283735
33,0.065153942,0.879775349,3.171705434,-3.481075041
34,0.067153942,2.565374874,3.520176798,-6.447888917
35,0.069153942,0.873989517,0.941093659,-3.964773857
36,0.071153942,2.317067208,1.924149495,-3.737065285
37,0.073153942,-2.637997667,1.985122011,-1.695022224
38,0.075153942,-0.408531855,0.083760528,1.468566589
39,0.077153942,1.514768122,0.713037038,2.627272917
40,0.079153942,1.486321189,-0.996561911,4.537159602
41,0.081153942,1.562983097,-2.945973651,3.882141132
42,0.083153942,-1.623552111,-5.045573333,1.882107927
43,0.085153942,1.050939025,-4.923180925,0.804873522
44,0.087153942,-1.247956549,0.123913042,0.171752313
45,0.089153942,-1.323172088,-0.371485417,-0.906635259
46,0.091153942,1.738486076,3.400513875,-0.580393862
47,0.093153942,-1.011702609,5.727970716,-1.988475873
48,0.095153942,0.649307258,1.690524884,-5.653054552
49,0.097153942,-2.088345549,6.162470953,-3.975204046
50,0.099153942,-1.201670068,1.416327839,-4.159051879
51,0.101153942,3.433246715,-2.847620099,-3.439078105
52,0.103153942,0.947276571,-0.150088579,4.258167382
53,0.105153942,3.041258,-4.234468648,6.596987929
54,0.107153942,-0.712769045,-1.127553007,3.713308702
55,0.109153942,-1.830394831,-3.328116211,2.246806003
56,0.111153942,2.868165856,-4.272156549,2.723506675
57,0.113153942,-1.508800183,1.123714031,3.040695546
58,0.115153942,-1.067149961,-1.341780502,-1.628353319
59,0.117153942,-0.812574278,3.191514395,-5.533662963
60,0.119153942,0.770809287,2.87514114,-4.206811422
61,0.121153942,3.527748056,1.417069161,-3.279361189
62,0.123153942,-2.646676272,4.649967534,-4.05804475
63,0.125153942,-1.641391686,-0.005211022,-3.845351581
64,0.127153942,-0.766287788,2.083646761,-0.160649001
65,0.129153942,1.365301241,1.26716951,5.121960028
66,0.131153942,5.389333069,-2.997678835,5.155040913
67,0.133153942,-1.629820059,-2.627531477,2.718039628
68,0.135153942,-1.611980484,-6.761945122,2.015652465
69,0.137153942,-0.085490749,-5.311877481,-0.828775463
70,0.139153942,0.024921842,-1.784029894,1.098424077
71,0.141153942,1.927489328,1.814485536,2.999467389
72,0.143153942,-2.271562969,5.546357347,-0.932692159
73,0.145153942,-1.748911325,3.501877937,-2.903695102
74,0.147153942,0.40823181,3.668820723,-5.946291781
75,0.149153942,-0.294262043,2.207701087,-5.771741966
76,0.151153942,1.758254404,-0.010879954,-2.831985532
77,0.153153942,2.18592227,-0.837641229,-1.623428939
78,0.155153942,-0.17565293,-2.076868198,1.722990205
79,0.157153942,2.658430114,-0.685873738,5.365607021
80,0.159153942,-0.646232234,-0.367900746,5.326505117
81,0.161153942,-5.616725922,-2.477845825,2.457779111
82,0.163153942,0.756344709,-4.784571494,3.375012345
83,0.165153942,1.378319291,-2.03713722,2.104000594
84,0.167153942,0.96029462,0.161697848,-3.623507367
85,0.169153942,1.163280083,-0.308531197,-2.585102726
86,0.171153942,-1.183348331,3.938269432,-1.649468881
87,0.173153942,0.673414746,4.833821827,-3.997104536
88,0.175153942,-0.603320795,3.127437695,-2.016021069
89,0.177153942,-0.475068665,3.116183815,-2.483228299
90,0.179153942,0.569752292,0.232141195,-3.466540933
91,0.181153942,-0.627910471,-1.131566482,1.28188429
92,0.183153942,1.592876702,-2.879164235,3.738137333
93,0.185153942,1.95593626,-4.655407054,4.019875189
94,0.187153942,2.353710807,-2.588700099,4.919227868
95,0.189153942,1.588055033,-2.187123277,3.624705391
96,0.191153942,-1.560390333,-1.619543645,1.701010576
97,0.193153942,-1.242170736,0.556502638,-1.952850429
98,0.195153942,-3.371831226,3.166711606,-3.396800146
99,0.197153942,-1.283153565,3.009661187,-2.390614743
100,0.199153942,3.632374958,0.798919746,-4.317757755
101,0.201153942,1.637234456,2.797470308,-4.250148874
102,0.203153942,0.290587002,2.529428334,-3.202514048
103,0.205153942,-1.58401574,0.840209277,-0.039653637
104,0.207153942,-1.972629351,0.712306214,2.67529491
105,0.209153942,1.896631561,-2.336899374,1.690934089
106,0.211153942,2.840683086,-3.619975776,5.31486927
107,0.213153942,1.371569297,-3.928790455,5.272487945
108,0.215153942,-0.96541612,-3.440700236,1.056824451
109,0.217153942,-1.360297714,-2.404819965,0.569648367
110,0.219153942,0.791541778,-2.136085121,-0.914024252
111,0.221153942,0.139673735,2.109875667,0.651826888
112,0.223153942,-1.454799305,3.887701265,-0.633625298
113,0.225153942,-1.840520036,4.494716314,-7.455111201
114,0.227153942,0.201389126,4.939565986,-6.610613113
115,0.229153942,1.346497361,2.074313211,-2.940733741
116,0.231153942,-0.427817888,1.236669525,-0.451415156
117,0.233153942,0.819024405,-2.01394628,1.456303283
118,0.235153942,2.308870543,-3.510163229,2.198662071
119,0.237153942,2.367210794,-1.584055484,4.954966367
120,0.239153942,0.173906499,-3.700059538,5.163373113
121,0.241153942,-2.043987723,-3.865107834,2.891591323
122,0.243153942,-0.835717532,-2.442943938,1.695445009
123,0.245153942,-0.735430146,-2.166968689,1.354097765
124,0.247153942,1.468963696,1.96416069,0.993656233
125,0.249153942,0.738505134,4.524281976,-3.608978104
126,0.251153942,-2.425851233,2.862467604,-8.767367261
127,0.253153942,-0.880075411,3.183434148,-5.445607164
128,0.255153942,-1.000613135,2.653868664,-1.722569035
129,0.257153942,1.122297326,1.441120938,-3.245693223
130,0.259153942,2.185440046,0.87481076,-0.031833418
131,0.261153942,2.025365951,-2.055159095,5.964342361
132,0.263153942,1.621323349,-2.0182109,7.541515215
133,0.265153942,-2.367993063,-3.169488666,6.394355904
134,0.267153942,0.196085376,-7.290722447,0.903882796
135,0.269153942,1.543215055,-5.298905155,-3.305701535
136,0.271153942,-0.795216855,-0.94965513,0.981745823
137,0.273153942,-2.557478396,4.154478631,2.751365197
138,0.275153942,-2.564710614,6.582396703,-1.285806071
139,0.277153942,2.46364103,4.107718823,-5.604905775
140,0.279153942,1.56635838,2.402478169,-7.094526735
141,0.281153942,-0.525212358,1.370440174,-3.058872027
142,0.283153942,0.8667573,0.900603594,-0.922756992
143,0.285153942,-2.041094807,-1.246054686,-1.680265234
144,0.287153942,1.223066864,-3.621605392,2.223868631
145,0.289153942,5.071595142,-2.759270356,6.953584762
146,0.291153942,0.158959839,-0.998844827,7.883128947
147,0.293153942,-1.186241238,-2.01208813,5.45532393
148,0.295153942,-3.091701631,-2.954133037,0.742033974
149,0.297153942,-2.274937966,-1.254968315,-2.86820694
150,0.299153942,1.870113239,-0.441189057,-3.944168661
151,0.301153942,0.528769534,1.054822776,-3.683493068
152,0.303153942,-0.566677339,3.074109355,-5.086616782
153,0.305153942,-0.493390393,4.10414465,-2.953087491
154,0.307153942,0.086637162,5.886100009,0.391064081
155,0.309153942,-0.98518431,4.377050439,-0.291225829
156,0.311153942,0.555769937,-1.344183742,1.80744922
157,0.313153942,1.476196199,-3.598947429,1.329125392
158,0.315153942,0.719219172,-5.825319617,0.533103942
159,0.317153942,1.72016442,-6.871282835,4.116736406
160,0.319153942,-0.835235379,-1.164466477,4.921347661
161,0.321153942,-0.21326069,-1.394235084,3.340880851
162,0.323153942,0.069279739,-2.596709283,0.822041827
163,0.325153942,-1.994326147,3.318035757,0.797693682
164,0.327153942,-1.061846301,5.270075233,-1.130006532
165,0.329153942,-0.37237048,5.146291433,-7.628919694
166,0.331153942,0.037939891,1.714376392,-7.013546603
167,0.333153942,1.783326055,-1.287153638,-3.639259246
168,0.335153942,1.217763114,2.660697224,-1.353859099
169,0.337153942,-0.838128277,0.842241856,2.569700146
170,0.339153942,1.641573901,-1.019237639,3.413050719
171,0.341153942,1.75584357,-1.477391536,4.99364835
172,0.343153942,-1.644766755,-3.499183912,5.238585792
173,0.345153942,-3.193435474,-1.880056115,3.554783715
174,0.347153942,-0.086455054,-5.431485491,1.396629292
175,0.349153942,3.483390301,-3.697654683,-2.849833785
176,0.351153942,0.986330718,1.119708632,0.228856711
177,0.353153942,-2.005897738,2.555829246,1.888149135
178,0.355153942,-2.76624969,7.067904409,-3.075268323
179,0.357153942,1.084689565,3.433870131,-3.275903302
180,0.359153942,0.942937126,3.818335176,-5.089501316
181,0.361153942,-0.816431499,3.671198121,-4.917330514
182,0.363153942,-0.286547673,-2.572321569,-0.726755679
183,0.365153942,-1.844859338,0.305561135,1.791994516
184,0.367153942,3.298726494,-4.60741171,4.014996031
185,0.369153942,1.595769475,-6.570876265,1.851707268
186,0.371153942,-0.235439639,-0.365289968,6.828136622
187,0.373153942,-0.757126924,-0.320668527,7.653513773
188,0.375153942,-3.653889574,-0.220688589,-1.645776807
189,0.377153942,2.282352506,-1.811807662,0.041313574
190,0.379153942,-0.646714387,1.789485706,-2.578711853
191,0.381153942,0.14401318,2.948509397,-6.150223138
192,0.383153942,0.982473497,1.219283184,-3.139298186
193,0.385153942,-1.309671869,5.042782545,-4.009254786
194,0.387153942,2.518124061,2.964450241,-0.910708492
195,0.389153942,-3.71897982,1.211726223,-0.298509034
196,0.391153942,-0.751823263,-0.614303065,0.57754611
197,0.393153942,3.624660516,-2.989075302,5.149221778
198,0.395153942,-0.323191128,-2.146429711,3.449094468
199,0.397153942,0.564448684,-4.947625167,4.197345069
200,0.399153942,-0.756162619,-3.229528473,4.935549871
201,0.401153942,0.164263446,-0.963247647,-0.072165206
202,0.403153942,1.156047866,-3.117561408,-1.600913103
203,0.405153942,-2.111488803,2.938421605,-0.820002346
204,0.407153942,-3.546852123,6.815053074,-3.990761308
205,0.409153942,-0.728680009,4.137365239,-5.833446113
206,0.411153942,1.022009869,3.300593696,-3.043179906
207,0.413153942,1.286710723,-0.033106691,-1.378539143
208,0.415153942,2.012830125,-0.686095004,-0.718596293
209,0.417153942,-0.938897824,-0.445913167,0.869538112
210,0.419153942,-2.190561545,-2.520429035,4.297384765
211,0.421153942,2.325746098,-3.532138013,2.983536236
212,0.423153942,3.050418828,-3.640361321,2.208546363
213,0.425153942,-2.009754959,0.192600796,9.152854287
214,0.427153942,-2.279277268,0.065747536,1.733464002
215,0.429153942,-0.356941668,-0.851786103,-6.743036786
216,0.431153942,2.941934706,0.264239303,-1.837228438
217,0.433153942,3.757734351,0.727360379,-3.778858721
218,0.435153942,-4.545868618,4.043973214,-3.506294522
219,0.437153942,-5.375650474,2.822027606,-1.848306275
220,0.439153942,0.196085376,5.933591448,-2.963256037
221,0.441153942,4.714321701,3.242206924,0.990355816
222,0.443153942,3.752912682,-3.16308891,0.864059759
223,0.445153942,-3.67028262,-0.374030783,1.8526424
224,0.447153942,-1.31497553,-8.136422154,3.376220425
225,0.449153942,0.189817463,-4.576757484,2.473841086
226,0.451153942,2.437604932,-1.206842957,4.668161196
227,0.453153942,3.588016918,-4.417093865,1.498422965
228,0.455153942,-2.546388957,4.610465089,1.700775582
229,0.457153942,-1.463478016,1.263030059,3.815190397
230,0.459153942,-6.665886288,4.504484321,-6.840372837
231,0.461153942,0.139191582,3.469245237,-9.576517699
232,0.463153942,6.860375469,-1.167367969,-1.640030351
233,0.465153942,-1.246992244,7.723440512,-2.134069719
234,0.467153942,1.506571456,-1.967496568,-3.479104643
235,0.469153942,-4.739211314,-2.169089289,-1.051401376
236,0.471153942,0.737540829,1.340757419,4.466981936
237,0.473153942,5.458280536,-3.624190328,9.609268741
238,0.475153942,-2.241187426,1.965241179,2.744395318
239,0.477153942,2.970381638,-7.315050403,0.445573045
240,0.479153942,-4.2392207,-7.496984365,4.93855392
241,0.481153942,-0.397442345,3.128028815,-2.794809611
242,0.483153942,2.643965678,-0.288257093,-0.36813838
243,0.485153942,-1.82653761,1.600916993,0.322778481
244,0.487153942,2.791021724,5.826096541,-12.01612572
245,0.489153942,-5.918552171,4.957616125,-0.003183506
246,0.491153942,0.944383655,4.744104918,3.869048483
247,0.493153942,0.127619991,4.816731046,-5.984276857
248,0.495153942,-3.949448053,-5.086733657,-0.795215707
249,0.497153942,7.790926721,-5.235046491,-2.06212677
250,0.499153942,-0.408531855,1.822196737,4.106550902
251,0.501153942,1.087100257,-7.060172949,9.474155152
252,0.503153942,-1.479871133,-2.910874724,3.586946426
253,0.505153942,-3.954269722,0.230006058,4.316896551
254,0.507153942,5.622694076,-1.759915129,-0.929259305
255,0.509153942,-2.92535948,4.922505892,-1.126680274
256,0.511153942,0.268890206,-0.093336269,-2.703631862
257,0.513153942,-3.503940755,2.455116869,-10.18207595
258,0.515153942,-3.347241657,4.109091641,-4.407333344
259,0.517153942,8.160736273,2.157354185,-3.304036387
260,0.519153942,-2.632211836,4.118416308,1.532153112
261,0.521153942,1.971847082,-2.322394336,4.632756211
262,0.523153942,-2.093649228,1.976297211,-3.522860401
263,0.525153942,-4.532850569,-3.818071848,7.640323411
264,0.527153942,5.132346228,-6.495850934,8.617051362
265,0.529153942,-2.491905926,0.507523709,-1.994277242
266,0.531153942,4.608730351,-10.28293023,5.857931981
267,0.533153942,0.338319896,-0.542782459,-0.076753649
268,0.535153942,-3.026611243,6.279375318,-4.71939595
269,0.537153942,-2.253723394,1.619243311,1.142459244
270,0.539153942,-5.381436305,7.345347766,-8.144309618
271,0.541153942,6.422582328,2.077020086,-4.966480641
272,0.543153942,-2.518424249,2.6789977,0.061146761
273,0.545153942,0.67052183,2.391284046,-5.699402514
274,0.547153942,4.76060778,-2.764411157,0.638544467
275,0.549153942,-4.216559599,-1.828216072,5.137232229
276,0.551153942,1.811772987,-3.742968994,5.970570918
277,0.553153942,-0.793770397,-4.698826876,5.128017387
278,0.555153942,3.801127657,-4.419891184,2.474144721
279,0.557153942,-0.847771293,0.670457866,5.884186728
280,0.559153942,-8.501917142,1.791265525,0.045499862
281,0.561153942,1.173887441,-2.891837771,-7.034802676
282,0.563153942,2.158921724,1.046847509,-2.815952628
283,0.565153942,3.59958858,5.162973598,-5.379156296
284,0.567153942,-2.690069864,3.74940839,-4.78899461
285,0.569153942,-3.516958804,4.603665601,-0.29808023
286,0.571153942,3.862843191,4.886689869,-5.631407629
287,0.573153942,0.836863981,-2.40000218,4.108804747
288,0.575153942,2.527767113,-4.062429476,9.153864519
289,0.577153942,-1.459138642,-1.474788834,-2.552415113
290,0.579153942,-2.807714672,-6.701398988,3.608867912
291,0.581153942,3.419746442,-4.305047662,3.693855059
292,0.583153942,0.445839571,-1.035348067,0.326795186
293,0.585153942,-2.134149904,-2.033982968,6.252636636
294,0.587153942,-2.57338936,4.249781296,-4.560543102
295,0.589153942,-3.068076224,3.597153145,-4.933691279
296,0.591153942,0.895204232,1.737244315,0.353356799
297,0.593153942,3.978077308,5.512157212,-8.724998857
298,0.595153942,-0.756162619,2.068899462,-3.685702498
299,0.597153942,-0.113455457,-1.871363752,0.729549402
300,0.599153942,2.446283822,-0.242962163,-2.542878064
301,0.601153942,-1.953825471,0.653840304,5.007160921
302,0.603153942,4.48674624,-2.87133271,7.589314327
303,0.605153942,1.55141172,-2.458235519,3.643370875
304,0.607153942,-4.716550213,-3.751360952,1.813263509
305,0.609153942,0.632431988,-6.214135689,-0.083687189
306,0.611153942,-2.226240767,1.40470249,2.72702109
307,0.613153942,2.422658273,1.44608731,-0.718552686
308,0.615153942,-0.449514684,-0.12078133,-7.741091874
309,0.617153942,-1.830394831,2.245477817,-5.808126497
310,0.619153942,2.484373521,3.473205414,-4.973868019
311,0.621153942,-4.809123228,8.6425109,-0.227558552
312,0.623153942,3.771234338,3.143112858,3.344769157
313,0.625153942,2.15410034,-2.881092641,-2.451458052
314,0.627153942,0.872543131,-3.788893805,-0.237615657
315,0.629153942,4.36042297,-4.93743401,5.477893871
316,0.631153942,-7.27628935,-1.720583076,5.110965369
317,0.633153942,1.292496554,-5.192708773,2.926362389
318,0.635153942,1.436177604,-2.575101122,0.687772117
319,0.637153942,-1.784590476,1.9651257,2.344631423
320,0.639153942,3.603928025,-0.515397156,0.863914402
321,0.641153942,-6.414203625,4.992257984,-5.111771659
322,0.643153942,0.356641695,2.458116074,-7.419996123
323,0.645153942,1.484392579,0.47217929,-5.934081773
324,0.647153942,-1.499639319,4.208285035,-2.658739087
325,0.649153942,5.32134948,0.356970759,-2.470317346
326,0.651153942,-2.745035118,0.56296619,-0.606677681
327,0.653153942,0.600127835,-0.336058628,3.700014975
328,0.655153942,1.516696732,-2.69608518,4.875703066
329,0.657153942,0.222603698,-2.13470019,6.443761213
330,0.659153942,2.069241767,-2.946187649,5.483263206
331,0.661153942,-3.487065485,-5.801765285,0.051948878
332,0.663153942,1.248138657,-4.68435414,-2.398623927
333,0.665153942,-1.621623501,0.740581427,-1.638990239
334,0.667153942,-0.007864393,2.580182236,-1.082793694
335,0.669153942,0.037457738,5.913476429,-0.84985953
336,0.671153942,-6.176502889,5.441996504,-4.368133728
337,0.673153942,4.044132001,1.850030225,-6.163061412
338,0.675153942,0.648825177,2.201883567,-2.820030706
339,0.677153942,-0.495319003,-1.246069222,-1.028620667
340,0.679153942,1.416891499,-2.609654152,1.287025091
341,0.681153942,-2.465387604,-4.071896269,2.9196485
342,0.683153942,6.521423113,-5.82397264,2.925470865
