"","time","d2_bw1","k_bw1","UD2_1","UD2_2","U_K","do","mf_xe","p_atm","x_loc_fit","x_vel_fit","y_loc_fit","y_vel_fit","tot_vel_fit","x_acc_fit","y_acc_fit","tot_acc_fit","vRatio"
"1",0,2.36076639599546,-0.171902231835221,0.100641618435268,0.195074794274581,0.739395846414475,1.542,0.69,1,0.0449690044142857,-0.570690629929822,0.0307414162315814,-0.844115103552603,1.01892988136344,0.92234127260318,-0.166684530720468,0.937281791100604,1
"2",0.033,2.36622699927573,-0.167447911114099,0.101053016879265,0.195287358066008,0.704826699683312,1.542,0.69,1,0.02829036275359,-0.551961371194686,0.00385332808304841,-0.857117963369415,1.01946680103947,0.945260454062364,-0.151997824773685,0.957403083737523,1.00052694467583
"3",0.066,2.37155758301854,-0.162948603798965,0.10147112948666,0.19550404118406,0.669801701679036,1.542,0.69,1,0.0119841950852655,-0.532199658606951,-0.0236382931811436,-0.869319274883138,1.01929018356143,0.968611211446735,-0.137320377500615,0.97829676735499,1.00035360843232
"4",0.1,2.37691110389583,-0.158266306413276,0.101874415762363,0.195713659684046,0.633364428124996,1.542,0.69,1,-0.00438603277280557,-0.510744719396594,-0.0525573874799841,-0.881056044004711,1.01839084887323,0.993145673102083,-0.122211717526429,1.00063681318556,0.999470981762266
"5",0.133,2.38197007151022,-0.153676967748838,0.102250252742753,0.19590955613741,0.597780541244087,1.542,0.69,1,-0.0198180681387393,-0.488842196606249,-0.081167328630307,-0.891642149352198,1.01685417621419,1.01744304631631,-0.107564730933186,1.02311315299831,0.997962857712565
"6",0.166,2.38689141077656,-0.149044177860826,0.102609037878278,0.196097054170393,0.562101545441451,1.542,0.69,1,-0.0347613145167903,-0.465858799421666,-0.11027589029686,-0.901439400253544,1.01470065207827,1.04223782753972,-0.092939201700999,1.04637344402825,0.995849342175034
"7",0.2,2.39181520562499,-0.144226351495699,0.103002705808958,0.196303330088836,0.525366078068723,1.542,0.69,1,-0.0496050940930887,-0.441027041803516,-0.140752035303878,-0.910713711217509,1.01188157182623,1.0683227510172,-0.077897839749912,1.07115898622878,0.993082635354871
"8",0.233,2.39644914992489,-0.139507790208991,0.103434622991988,0.19653030614512,0.489853739087874,1.542,0.69,1,-0.0634358253112133,-0.415784905200896,-0.170768398180051,-0.918925104008051,1.00861312413092,1.09417851307487,-0.0633304523476933,1.09600974661237,0.989874909528885
"9",0.266,2.40093758029131,-0.134748436712439,0.103794536164993,0.196719967816452,0.454596452452626,1.542,0.69,1,-0.0766581326536255,-0.389394979311089,-0.20118100021576,-0.926364138331511,1.00487758791774,1.12057582492746,-0.0487993073682177,1.12163788800641,0.986208772848134
"10",0.3,2.40540705538853,-0.129803380923969,0.104201131489673,0.196934800895444,0.418654162865058,1.542,0.69,1,-0.089601346127546,-0.360978118999965,-0.232894611868058,-0.933227610342614,1.00060930192685,1.14834746481735,-0.0338712337373656,1.14884688293407,0.982019783920679
"11",0.333,2.40959197562145,-0.124964782468656,0.104577420091689,0.197134159376384,0.384250799030342,1.542,0.69,1,-0.101460825080202,-0.332178734614956,-0.264010111121089,-0.939118984402158,0.996136124530646,1.17586308402852,-0.019429761911161,1.17602360011566,0.977629710101056
"12",0.366,2.41362344276535,-0.120089155240664,0.104969838830706,0.197342613401527,0.350426166624838,1.542,0.69,1,-0.112583813120131,-0.30215159993562,-0.29542253812302,-0.944259284957755,0.991423817836038,1.2039293671669,-0.00504045257284646,1.20393991847144,0.97300494957455
"13",0.4,2.41761383740261,-0.115028615236213,0.105398753271979,0.197571094017539,0.316286253489519,1.542,0.69,1,-0.123226052724302,-0.269901039972609,-0.328063647048046,-0.948778414115846,0.9864213351659,1.23341437242747,0.00972482785884316,1.23345270942486,0.96809540401932
"14",0.433,2.42132579933052,-0.110082475529053,0.105795146002512,0.197782842829435,0.283936060636735,1.542,0.69,1,-0.13271376757544,-0.237295563483727,-0.359981062670311,-0.952419487054584,0.981535564190302,1.26256991762762,0.0239923134728025,1.26279785714262,0.96330040186563
"15",0.466,2.42487654089473,-0.105104134310373,0.106170441196352,0.197983844249545,0.252450541619846,1.542,0.69,1,-0.14132370249141,-0.203378328431735,-0.392099956390101,-0.955335911538446,0.976744310631334,1.29223482353571,0.0381922747963691,1.2927990907378,0.958598161165261
"16",0.5,2.42836363074081,-0.0999431740863467,0.106615627615203,0.198222935231481,0.221005760321039,1.542,0.69,1,-0.149223401653024,-0.167033243546318,-0.425370662265296,-0.957593158291838,0.972051830540399,1.32330231325971,0.052747003846118,1.3243531472735,0.953992858899854
"17",0.533,2.43157944861604,-0.09490515398581,0.107000394921375,0.198430150212437,0.191535710332397,1.542,0.69,1,-0.155894652002544,-0.130372477267095,-0.457805380135968,-0.959069021500005,0.967889648064146,1.35390850923788,0.0667958941119434,1.35555521571677,0.949908002274898
"18",0.566,2.43462667396281,-0.0898407605766615,0.107393076053543,0.198642172723322,0.163181289781399,1.542,0.69,1,-0.161529871854512,-0.0923243344111542,-0.490350882342245,-0.959851444693115,0.964281379372184,1.38491597632569,0.0807641763078338,1.38726894063726,0.946366768714122
"19",0.6,2.43758746745439,-0.0845975665687916,0.107822360166994,0.198874586993866,0.135222183122171,1.542,0.69,1,-0.166192724729088,-0.0516504087741214,-0.523968125285629,-0.959944124906173,0.961332662333082,1.41722663788048,0.0950676781952381,1.42041163278658,0.943472833524826
"20",0.633,2.44028537446149,-0.0794862784667831,0.108224126310004,0.19909269578657,0.109399954573396,1.542,0.69,1,-0.169548989897372,-0.0107254298758226,-0.556650815937069,-0.959353462565835,0.959413415052697,1.44887557228378,0.108861844182813,1.45295950565718,0.941589242400953
"21",0.666,2.44280792810937,-0.0743553608506243,0.108618606316027,0.199307404875073,0.0850028656956064,1.542,0.69,1,-0.171692126814236,0.0316390871121249,-0.589359178874762,-0.958104328963382,0.958626588934222,1.48073530541695,0.12256605944604,1.48579927434239,0.940817034094114
"22",0.7,2.44522134095235,-0.0690509755334486,0.10899096793772,0.199510578897464,0.0616022281566704,1.542,0.69,1,-0.172565291064837,0.0768028075709658,-0.623057298824828,-0.956141439412458,0.959221102464135,1.5136929877956,0.136589274255601,1.51984311399014,0.941400502633792
"23",0.733,2.44738163342336,-0.0638877023163545,0.109385743850159,0.199726515409578,0.0411740476946071,1.542,0.69,1,-0.172051013357699,0.122113493948672,-0.655736220789608,-0.953592870272573,0.961379772846837,1.54571349721824,0.150105006826741,1.55298478052977,0.943519068810116
"24",0.766,2.44936062731752,-0.0587123517920412,0.109818650172529,0.199963936562862,0.0251329994444038,1.542,0.69,1,-0.170128390050217,0.16887631495875,-0.688361882891001,-0.95042303597534,0.965309876188278,1.57765958036311,0.163526106352274,1.58611176749,0.947376157912441
"25",0.8,2.45120811969748,-0.0533703392310932,0.110191712952796,0.200169062553311,0.0210255202954642,1.542,0.69,1,-0.166602825681255,0.218567392656867,-0.721894474061411,-0.946520530918683,0.971428237485099,1.61037303370746,0.177254437761741,1.62009889926461,0.953380851079977
"26",0.833,2.45281376011449,-0.0481786884441822,0.110572307427528,0.200378829145815,0.0312139891868139,1.542,0.69,1,-0.16161074664966,0.268249688120844,-0.754336960322464,-0.94212768759176,0.979572598077308,1.64179885987354,0.190482517589941,1.65281187247353,0.961373904126288
"27",0.866,2.45423315977105,-0.0429831934966049,0.110954112969752,0.200589768395361,0.0454022087541317,1.542,0.69,1,-0.155000889626065,0.319342218397562,-0.786653695098539,-0.937151263565972,0.990066635764671,1.6727642000398,0.203616139521777,1.68511115396242,0.971672981500799
"28",0.9,2.45549932095647,-0.0376292416491149,0.111277615523363,0.200768891306809,0.0601337360120703,1.542,0.69,1,-0.146423575873377,0.373428496503658,-0.819794416629244,-0.93142659761116,1.0034960631405,1.70402848726043,0.217050078522661,1.7177962108416,0.984852914312132
"29",0.933,2.45653648503716,-0.0324347404545638,0.111611455712982,0.200954116768905,0.073609843120892,1.542,0.69,1,-0.136310013147434,0.427290600001742,-0.851787290749157,-0.925302789232834,1.019196992054,1.73358890357106,0.229995664739093,1.7487791433979,1.00026214825518
"30",0.966,2.45738363508434,-0.0272451638799935,0.111931059131577,0.201131802553243,0.0860018014399602,1.542,0.69,1,-0.124362323542893,0.482455223901846,-0.883588260764122,-0.91863185718188,1.03761627401444,1.76220553378136,0.242851382853043,1.7788606290104,1.0183392331433
"31",1,2.45805670081675,-0.021906631325937,0.112262077400373,0.201316204072716,0.0975370769493293,1.542,0.69,1,-0.110059017782825,0.540599731801914,-0.916130529270092,-0.911198685509298,1.05949568875865,1.79051362614158,0.256005181621467,1.80872267039911,1.03981216778227
"32",1.033,2.45851525487777,-0.0167362706425438,0.112562972952033,0.201484150443155,0.10750862213111,1.542,0.69,1,-0.0941692911357043,0.598243205058124,-0.947479482089313,-0.903451967911528,1.08356835996693,1.81665671263897,0.268686153257926,1.83641875957767,1.06343761213185
"33",1.066,2.4587813306245,-0.0115799792219636,0.11285552802137,0.20164773791189,0.11627639624456,1.542,0.69,1,-0.0762326198151364,0.657009990454495,-0.978576334387239,-0.895191918377228,1.11041915432188,1.84129186198128,0.281285666585364,1.86265330838159,1.08978956710546
"34",1.1,2.4588536200484,-0.00628539682602698,0.113155356317798,0.201815694789597,0.124071005690949,1.542,0.69,1,-0.0555403869014969,0.718653329889233,-1.01033214973701,-0.886155613750422,1.14093574768357,1.86488602777189,0.294185593419757,1.88794731387149,1.11973921714502
"35",1.133,2.45872751637044,-0.00116713571394583,0.113419984515136,0.201964187140725,0.130464276184085,1.542,0.69,1,-0.0332431293478863,0.779462536813728,-1.04086042449735,-0.876884766530984,1.17323856911976,1.88584296775311,0.306631293194181,1.91060892099608,1.15144191035976
"36",1.166,2.458407889765,0.00392770567715879,0.113657233723046,0.202097517989646,0.135740241641821,1.542,0.69,1,-0.0087024717157151,0.841145290167804,-1.07108186946309,-0.86713059405457,1.20807320403894,1.90467789922783,0.319007959678204,1.93120790650437,1.1856293805246
"37",1.2,2.45787615064373,0.00914916510292796,0.113923187763586,0.202247206928099,0.140052311591503,1.542,0.69,1,0.0189904056262738,0.905508506232887,-1.10188031357425,-0.856584732977441,1.24646823450505,1.92164613906963,0.331693053346628,1.95006260551799,1.22331110050197
"38",1.233,2.45716373069318,0.014186921378333,0.114131902605824,0.202364846730912,0.143194712121738,1.542,0.69,1,0.0482629050236624,0.968659980107326,-1.13142728604112,-0.845876092495821,1.28600486815467,1.93553916592351,0.343946630469594,1.96586142630534,1.26211321473255
"39",1.266,2.45625824135226,0.0191918771063586,0.114319302365703,0.202470597602173,0.145360396773516,1.542,0.69,1,0.0799449670435104,1.03237178774043,-1.16061778316937,-0.834709398409531,1.3276035883936,1.94669037390987,0.356149795576917,1.97900128569004,1.30293910569893
"40",1.3,2.45512389488962,0.0243109459435825,0.114514533525604,0.202580893444043,0.146625856911315,1.542,0.69,1,0.11515569909355,1.09847835953686,-1.19030384054278,-0.822732759750211,1.3724226391083,1.95510365982834,0.368678782705295,1.98956135001945,1.34692549920299
"41",1.333,2.45382809291921,0.0292398788574558,0.114648025189358,0.202656383269365,0.146972826441715,1.542,0.69,1,0.151865492742447,1.16296735113627,-1.21872409275811,-0.810657289300805,1.41762417463354,1.96008922694466,0.380806591352657,1.99673819956502,1.39128727163895
