"","time","d2_bw1","k_bw1","do","mf_xe","p_atm","x_loc_fit","x_vel_fit","y_loc_fit","y_vel_fit","tot_vel_fit"
"1",1.467,2.43456795729834,0.56823442532034,1.769,0.25,1,-0.330812542953747,0.0966662366097267,-0.215403097479497,-0.00532331147775964,0.096812700330984
"2",1.5,2.41606292774222,0.570202820180958,1.769,0.25,1,-0.327644788933366,0.0924691149449613,-0.215938801268293,-0.00865437984004101,0.0928732227777209
"3",1.534,2.39692100646292,0.572230046218071,1.769,0.25,1,-0.324540294501755,0.0882369440438655,-0.216571622511301,-0.0121966692483611,0.0890759060293757
"4",1.567,2.37826654954423,0.57419373170343,1.769,0.25,1,-0.321677280823586,0.0842258744540867,-0.217265960016638,-0.0157496339194894,0.0856857566702512
"5",1.6,2.35953623727202,0.576150484558376,1.769,0.25,1,-0.318956761853285,0.0803147760947144,-0.218040963556945,-0.0194238970240925,0.0826302065515188
"6",1.634,2.3401576604414,0.578156069841268,1.769,0.25,1,-0.316296099408481,0.0763921879241927,-0.218925762083286,-0.0233455119334593,0.0798797803156748
"7",1.667,2.32126960225479,0.58008939993054,1.769,0.25,1,-0.313844354548541,0.0726886904446464,-0.219870313210356,-0.0272934021711546,0.0776439020183428
"8",1.7,2.30230234039964,0.582006602688977,1.769,0.25,1,-0.311513204683343,0.0690845879595836,-0.220901465257811,-0.0313911128827799,0.0758820285809814
"9",1.734,2.28267665475663,0.583961846525706,1.769,0.25,1,-0.309228356670551,0.0654694553932307,-0.222056805639364,-0.0357815185837941,0.0746094274314488
"10",1.767,2.26354637231325,0.585837034616357,1.769,0.25,1,-0.307114744198874,0.0620474789379097,-0.22327086195194,-0.0402189453867357,0.0739422288720835
"11",1.8,2.24433503871028,0.587686988053102,1.769,0.25,1,-0.305093867882166,0.0586997739461259,-0.224578924335811,-0.0448434852272997,0.0738688136405163
"12",1.834,2.22445647565594,0.589563462846342,1.769,0.25,1,-0.30309825085844,0.0553133518431007,-0.226028085867453,-0.0498194285751106,0.0744415364945485
"13",1.867,2.2050798918191,0.591353044435029,1.769,0.25,1,-0.301234938658835,0.0520697518321256,-0.227536537012248,-0.0548705376983756,0.0756441336996333
"14",1.9,2.18562190589005,0.593108428262613,1.769,0.25,1,-0.299433932222867,0.0488481449579393,-0.229149236532206,-0.0601574550043597,0.0774923264487099
"15",1.934,2.16548936807322,0.594878156770083,1.769,0.25,1,-0.297632975483361,0.0455269520070971,-0.230924483299805,-0.0658710849823949,0.0800731115657085
"16",1.967,2.14586692835564,0.596555162903457,1.769,0.25,1,-0.295928055549933,0.0422739282499879,-0.232763060859905,-0.0716960019479466,0.0832310140813212
"17",2,2.12616421763331,0.598189210008078,1.769,0.25,1,-0.294256185322785,0.0389612504798716,-0.234721409529583,-0.0778177544753224,0.0870263290650414
"18",2.034,2.10578123350259,0.599824845020273,1.769,0.25,1,-0.292559033450042,0.0354501971580256,-0.236871606015951,-0.0844594197534669,0.0915975439825501
"19",2.067,2.08591785115357,0.601362976178267,1.769,0.25,1,-0.290928281838991,0.0319092400975233,-0.239095309567215,-0.0912546355149035,0.0966726854212671
