"","time","d2_bw1","k_bw1","UD2_1","UD2_2","U_K","do","mf_xe","p_atm","x_loc_fit","x_vel_fit","y_loc_fit","y_vel_fit","tot_vel_fit","x_acc_fit","y_acc_fit","tot_acc_fit","vRatio"
"1",0,9.04122046179734,0.289704980260324,0.368051596260644,0.404212094710201,0.913614152714845,3.001,0.2,1,0.00587378208273497,-0.134138253632444,-0.0013068267601291,0.045358124936513,0.141599543026516,0.794237261944255,-0.318596855462981,0.855755096141184,1
"2",0.033334017,9.03326985076086,0.300224472237932,0.366430705714786,0.402736765258197,0.87159069832881,3.001,0.2,1,0.00204927556260752,-0.110461727953892,0.000150971126429599,0.0330694224116999,0.11530559414531,0.803837886350822,-0.312878895816286,0.862582489377205,0.814307671344097
"3",0.066666842,9.02481939543213,0.310409170405909,0.364327954889706,0.400824523593699,0.829046797316069,3.001,0.2,1,-0.0010620290462411,-0.0859711586355175,0.0011791970926541,0.0207946153923761,0.0884503032581017,0.812349684895294,-0.30606682014432,0.868094988433143,0.624651050191162
"4",0.133333921,9.00648018606435,0.329779073426405,0.360674877563237,0.397506990259613,0.742954965713215,3.001,0.2,1,-0.00496804152333972,-0.0349028273685866,0.00191267035679708,-0.00334735871958752,0.0350629743278997,0.826178311122652,-0.289423991374696,0.875406676095595,0.247620674321907
"5",0.166666985,8.99662331980349,0.338966650444714,0.35682423570792,0.39401646563125,0.699693052676543,3.001,0.2,1,-0.00568699439801256,-0.00850428912785685,0.0016147517348537,-0.0150397182015947,0.0172776172302075,0.831566322919005,-0.279777822975361,0.877370035755648,0.122017464611253
"6",0.199999809,8.98632947127284,0.347825176134407,0.356689895508018,0.393894810269849,0.65647698382338,3.001,0.2,1,-0.00554170985747884,0.0183552799944798,0.000880936421232542,-0.0263736339660227,0.0321323026291222,0.836009582253123,-0.26940756095315,0.878346432518381,0.226923773497667
"7",0.233333826,8.97561414683431,0.356357389359535,0.352001074419529,0.38965394440773,0.613446560583816,3.001,0.2,1,-0.00450757532874274,0.045595618553774,-0.000276755983237006,-0.0372806565184729,0.0588965854846409,0.839581463406563,-0.258459205433076,0.878463541969161,0.41593768048822
"8",0.266666889,8.96449401527905,0.364565493797643,0.352254884082284,0.389883243240619,0.570744869310109,3.001,0.2,1,-0.00256515795769996,0.0731393714121609,-0.00184128300804459,-0.0477020362186036,0.0873203980176853,0.842368807268491,-0.247100332646228,0.877863190851978,0.616671467656741
"9",0.299999952,8.9529847435263,0.372452867175329,0.347331555701355,0.385440850956309,0.528509197784795,3.001,0.2,1,0.000300287814518942,0.100918953238499,-0.00379134993447369,-0.0575927593011844,0.116196217867358,0.844470695761068,-0.235515306148739,0.876697333992477,0.820597407193603
"10",0.333333969,8.94110190835906,0.38002320935148,0.347664981777482,0.38574133762709,0.486874821855422,3.001,0.2,1,0.00409930246870928,0.128875272972385,-0.00610208073595133,-0.0669220101267292,0.145214983466269,0.845994913555629,-0.223902095153935,0.875122586827879,1.02553285386716
"11",0.366667032,8.9288620371738,0.387279919418826,0.342659754556968,0.381236340598639,0.445978479931461,3.001,0.2,1,0.00883835788558684,0.156956224797718,-0.00874566203426047,-0.0756735384087366,0.174246207758018,0.84705352990974,-0.212467462806024,0.873293825286644,1.23055628594358
"12",0.399999857,8.91628062911865,0.394227331984536,0.342649618679905,0.381227230377743,0.405951805582165,3.001,0.2,1,0.0145211666893081,0.185121791705663,-0.0116927570216316,-0.0838476862822769,0.20322527465649,0.847757492577535,-0.201417600342641,0.871356308262663,1.43521137365842
"13",0.433333874,8.90337274180216,0.400870207874485,0.337987628470305,0.377042540038894,0.366924700657845,3.001,0.2,1,0.0211494432679262,0.213342437125604,-0.0149135745828777,-0.0914604575500895,0.232120681486946,0.848209658175379,-0.1909501265093,0.869437504962784,1.63927563977717
"14",0.466666937,8.89015465603159,0.407212889676064,0.337557876448563,0.376657350854146,0.329031919933126,3.001,0.2,1,0.0287228236468838,0.241594839649082,-0.0183786101675996,-0.0985414498023911,0.260918538770672,0.848497108424693,-0.181245946782998,0.867639001100302,1.84265099444433
"15",0.5,8.87664127609206,0.413260625909193,0.333217930290747,0.372772892076729,0.292408144829175,3.001,0.2,1,0.0372410206940575,0.269866302180796,-0.0220604273517096,-0.105133411415182,0.289621917762677,0.84868318163526,-0.17245770336349,0.866028176354532,2.04535912738392
"16",0.533334017,8.86284726425444,0.419018894601005,0.332177623198,0.371843264499268,0.257196907204197,3.001,0.2,1,0.0467041534122088,0.29815032128984,-0.0259344114906879,-0.111288743541084,0.318243300831594,0.848799489078081,-0.164702365335749,0.864631390713061,2.24748819120129
"17",0.566666842,8.84878834137301,0.424492890975237,0.328386999859342,0.368460936432371,0.223562634688487,3.001,0.2,1,0.0571124485326412,0.326441694214139,-0.0299792021441299,-0.117065755939786,0.346797593612111,0.848838685057389,-0.158055067927335,0.863428351252999,2.44914345201785
"18",0.600000858,8.83447807983294,0.429688796788686,0.326571466618517,0.366843785294734,0.19169869461884,3.001,0.2,1,0.0684690783842451,0.354740449038639,-0.0341781658178924,-0.122526571678308,0.375304605555773,0.848748408542415,-0.152543082786222,0.86234752455678,2.65046480754174
"19",0.633333921,8.81993170092752,0.434612273977861,0.323608516081972,0.364208610113457,0.161865594440923,3.001,0.2,1,0.0807777340686629,0.383041513586781,-0.0385185883724119,-0.127732172164926,0.403777548827102,0.848426694261071,-0.148145937886552,0.861263649788527,2.85154556432072
