,time,d2_bw1,k_bw1,do,mf_xe,p_atm,x_loc_fit,x_vel_fit,y_loc_fit,y_vel_fit,tot_vel_fit
37,2.7,10.7255921314,0.4044160973,3.387,air,1,2.0752730713,0.9386808503,-0.4663112515,-0.3304539321,0.9951490039
38,2.734,10.7116497278,0.4075299838,3.387,air,1,2.1063343894,0.9367557093,-0.4776904133,-0.3264536329,0.9920096942
39,2.767,10.6980010628,0.4105438086,3.387,air,1,2.1364135665,0.9351395002,-0.4885811955,-0.322503266,0.9891886783
40,2.8,10.6842374692,0.4135474273,3.387,air,1,2.1664421885,0.9337717422,-0.4993185354,-0.3184949474,0.9865944952
41,2.867,10.6559388036,0.4196065712,3.387,air,1,2.227324894,0.9317434535,-0.5206411855,-0.3102123773,0.9820272818
42,2.9,10.6418259366,0.4225678149,3.387,air,1,2.2573051286,0.9310981356,-0.5309069761,-0.3060771844,0.9801157998
43,2.934,10.6271648709,0.4256001435,3.387,air,1,2.2882127186,0.9306620204,-0.5413206638,-0.3017879782,0.9783699607
44,2.967,10.6128182136,0.4285232243,3.387,air,1,2.3182456975,0.9304463298,-0.5512702587,-0.2976033466,0.9768818376
45,3,10.5983568,0.4314246121,3.387,air,1,2.3483274783,0.9304186428,-0.5610653568,-0.293402987,0.9755840116
46,3.034,10.5833375692,0.4343892183,3.387,air,1,2.3793861744,0.9305673986,-0.5709970265,-0.2890639609,0.9744299138
47,3.067,10.5686445416,0.4372407109,3.387,air,1,2.4096073309,0.9308633412,-0.5804826191,-0.2848457309,0.9734699021
48,3.1,10.5538383433,0.4400647726,3.387,air,1,2.4399142205,0.9312869805,-0.5898182859,-0.2806242685,0.9726486623
49,3.134,10.5384659013,0.4429437581,3.387,air,1,2.4712390401,0.9318332296,-0.5992820206,-0.2762744609,0.9719263066
50,3.167,10.5234323681,0.4457064356,3.387,air,1,2.5017472419,0.9324459596,-0.6083191488,-0.2720544135,0.971323361
51,3.2,10.5082882972,0.4484361327,3.387,air,1,2.5323651122,0.9331156633,-0.6172122644,-0.2678377701,0.9707944747
52,3.234,10.4925708651,0.4512121861,3.387,air,1,2.5640308708,0.9338392028,-0.6262263877,-0.2634979991,0.970302454
53,3.267,10.4772058734,0.4538695273,3.387,air,1,2.5948856939,0.9345482664,-0.6348333406,-0.2592909038,0.9698516562
54,3.3,10.4617340268,0.4564886578,3.387,air,1,2.6258616725,0.9352382577,-0.6433023572,-0.255088788,0.9694023357
55,3.334,10.4456831001,0.4591454637,3.387,air,1,2.6579044047,0.9359018382,-0.6518857614,-0.2507640694,0.9689142735
56,3.367,10.4299988594,0.4616820401,3.387,air,1,2.6891291309,0.9364730035,-0.6600805274,-0.24657023,0.968389676
57,3.4,10.414212472,0.4641756153,3.387,air,1,2.7204753183,0.9369453759,-0.6681428959,-0.2423786885,0.9677882341
58,3.434,10.3978427444,0.4666982299,3.387,air,1,2.7528959427,0.9373000615,-0.6763128151,-0.2380607069,0.9670596184
59,3.467,10.3818545256,0.4691000575,3.387,air,1,2.7844801386,0.9374879396,-0.6841112209,-0.2338681016,0.9662183634
60,3.5,10.3657698428,0.4714546398,3.387,air,1,2.8161745433,0.9374935596,-0.6917816921,-0.2296713572,0.9652166113
61,3.534,10.3490990474,0.4738298227,3.387,air,1,2.8489375831,0.9372789047,-0.6995519687,-0.2253400574,0.9639864556
62,3.567,10.3328250023,0.4760846675,3.387,air,1,2.880833391,0.9368275153,-0.7069658704,-0.2211256647,0.9625707002
63,3.6,10.3164610741,0.4782886582,3.387,air,1,2.9128137508,0.9361081282,-0.7142544377,-0.2168973528,0.9609073261
64,3.634,10.299509745,0.4805051506,3.387,air,1,2.9458386221,0.9350571342,-0.7216330518,-0.2125223036,0.9589043611
65,3.667,10.28297065,0.4826027798,3.387,air,1,2.9779505382,0.9337084542,-0.7286675517,-0.2082537218,0.9566509762
66,3.7,10.2663490498,0.4846466517,3.387,air,1,3.0101031241,0.9320097354,-0.7355763042,-0.2039590265,0.9540657374
67,3.734,10.2491402074,0.4866953951,3.387,air,1,3.0432526354,0.9298675612,-0.7425618318,-0.1995023883,0.9510283299
68,3.767,10.2323591338,0.4886277682,3.387,air,1,3.0754275834,0.9273849468,-0.7492116967,-0.1951416523,0.9476935707
69,3.8,10.2155036063,0.4905042353,3.387,air,1,3.1075797747,0.9244848045,-0.7557312989,-0.190742176,0.9439569543
70,3.867,10.1810642885,0.4941399202,3.387,air,1,3.1726851011,0.9172456405,-0.7685566607,-0.1816755064,0.9350644655
71,3.9,10.1640003322,0.4958440435,3.387,air,1,3.2046124586,0.912990521,-0.7746645965,-0.1771372085,0.9300157429
72,3.934,10.1463534736,0.4975396117,3.387,air,1,3.2373721122,0.9081201459,-0.7808081853,-0.1724077394,0.9243411859
73,3.967,10.1291647926,0.49912669,3.387,air,1,3.2690085118,0.9029183398,-0.7866219209,-0.1677635717,0.9183714631
74,4,10.111919184,0.5006559167,3.387,air,1,3.300459755,0.8972499819,-0.7922844491,-0.163065404,0.9119472879
75,4.034,10.0940946124,0.5021709552,3.387,air,1,3.3326420419,0.8909266166,-0.7979558065,-0.1581681109,0.9048576615
76,4.067,10.0767426753,0.5035827517,3.387,air,1,3.3636358043,0.884328007,-0.8032978528,-0.153360249,0.8975273756
77,4.1,10.0593429455,0.5049368902,3.387,air,1,3.3943663956,0.8772855326,-0.8084753756,-0.1484997948,0.8897651908
78,4.134,10.0413691592,0.5062719995,3.387,air,1,3.4257286146,0.8695788803,-0.8136331614,-0.1434390387,0.8813297833
79,4.167,10.0238816918,0.5075098593,3.387,air,1,3.4558556532,0.8616764639,-0.8184635347,-0.1384782785,0.8727328125
80,4.2,10.0063555683,0.5086909918,3.387,air,1,3.4856546507,0.8533743515,-0.8231167902,-0.1334725872,0.8637492202
81,4.234,9.9882610704,0.5098490711,3.387,air,1,3.5159944733,0.844421066,-0.8277218193,-0.128272163,0.8541081223
82,4.267,9.9706656103,0.5109165218,3.387,air,1,3.5450735938,0.835362077,-0.8320041127,-0.1231872994,0.8443961809
83,4.3,9.953040442,0.511928859,3.387,air,1,3.5737748542,0.8259587,-0.8360985885,-0.1180704368,0.8343550816
84,4.334,9.9348531469,0.5129149384,3.387,air,1,3.6029365057,0.8159306138,-0.8401175015,-0.1127706284,0.8236868223
85,4.367,9.9171764693,0.5138175097,3.387,air,1,3.6308308285,0.8058877915,-0.8438216133,-0.1076055324,0.8130400256
86,4.4,9.8994786567,0.5146671939,3.387,air,1,3.6583107506,0.795559828,-0.8473295451,-0.1024258834,0.8021262379
87,4.434,9.8812253112,0.5154882147,3.387,air,1,3.6861798148,0.7846415539,-0.8507362558,-0.0970811465,0.7906245108
88,4.467,9.8634928769,0.5162332102,3.387,air,1,3.7127898993,0.7737955115,-0.8538393848,-0.0918930983,0.7792328504
89,4.5,9.8457473339,0.5169280735,3.387,air,1,3.7389596085,0.7627242685,-0.8567405421,-0.0867123166,0.7676375028
90,4.534,9.8274529796,0.5175926261,3.387,air,1,3.76545476,0.7511028651,-0.8595170288,-0.0813907973,0.7554998185
91,4.567,9.8096884344,0.5181888567,3.387,air,1,3.7907109512,0.7396351381,-0.8620045982,-0.0762504839,0.7435551585
92,4.6,9.7919181107,0.5187381439,3.387,air,1,3.8155094047,0.7280019654,-0.8642875021,-0.071143768,0.7314699566
93,4.634,9.77360562,0.5192561717,3.387,air,1,3.8405763262,0.715863946,-0.866425469,-0.0659276438,0.7188933463
94,4.667,9.755830374,0.5197136605,3.387,air,1,3.8644339011,0.7039550827,-0.8682931824,-0.0609192874,0.7065861009
95,4.7,9.7380558676,0.5201277265,3.387,air,1,3.8878239909,0.6919398407,-0.8699575909,-0.0559750505,0.6942002229
96,4.734,9.7197455816,0.5205102093,3.387,air,1,3.9114321678,0.6794694849,-0.8714614149,-0.0509594523,0.6813777563
