"","time","d2_bw1","k_bw1","do","mf_xe","p_atm","x_loc_fit","x_vel_fit","y_loc_fit","y_vel_fit","tot_vel_fit","brnratederiv"
"1",1.466,5.60363715934588,0.48776811232849,2.526,0.05,1,1.49905326627096,-2.3094693624962,-3.30295836276984,-2.15057613575693,3.15572914743896,-0.0401592837028135
"2",1.5,5.5872141051047,0.489724526731879,2.526,0.05,1,1.42033821600309,-2.30100823651175,-3.3760210123725,-2.15092976527902,3.1497837639524,-0.039598573028963
"3",1.533,5.57119481476314,0.49158767956432,2.526,0.05,1,1.34427105025825,-2.29309427968006,-3.44695266350207,-2.15125434049271,3.1442290967724,-0.0390596343693446
"4",1.566,5.55509924182949,0.493416283629969,2.526,0.05,1,1.26851649489232,-2.28546491350134,-3.51790170500816,-2.1515602421926,3.1388789952194,-0.038525732340735
"5",1.6,5.53843798038926,0.495264835761271,2.526,0.05,1,1.1907779044655,-2.27789164404779,-3.59101882815591,-2.15185458287615,3.13357120357394,-0.0379807237853085
"6",1.633,5.5221928485065,0.497025248678386,2.526,0.05,1,1.11561367198317,-2.27080932241996,-3.66200303878376,-2.15211791584476,3.12860775785163,-0.0374564570251419
"7",1.666,5.50587658618691,0.498753033700019,2.526,0.05,1,1.04071934937082,-2.26398023835881,-3.73300460188013,-2.15235636224043,3.12381888555595,-0.0369366042214807
"8",1.7,5.48899319896806,0.500499710566514,2.526,0.05,1,0.963824052820523,-2.25719717968517,-3.80617583835453,-2.15257229715133,3.11905540227198,-0.0364053565378889
"9",1.733,5.47253743446261,0.502163165312654,2.526,0.05,1,0.889438301755741,-2.25084727023795,-3.87721239433772,-2.15274884553103,3.11458520928114,-0.0358936947079792
"10",1.8,5.43892460177791,0.505446468597484,2.526,0.05,1,0.739115548556317,-2.23861362169603,-4.02148925064662,-2.15298799627534,3.10592148312683,-0.0348656888751537
"11",1.833,5.4222721746913,0.50701849377204,2.526,0.05,1,0.665400175617502,-2.23288796785286,-4.09257473787583,-2.15303689369997,3.10183115959191,-0.03436407190849
"12",1.866,5.40555770029467,0.508561484949857,2.526,0.05,1,0.591885372292999,-2.22734398557135,-4.1636744819618,-2.1530333602498,3.09784019607362,-0.0338651358552376
"13",1.9,5.38827324611557,0.510121425911262,2.526,0.05,1,0.516342982084186,-2.22180929878221,-4.23694214133001,-2.15296936401729,3.09381861823735,-0.0333535289673134
"14",1.933,5.37143687383928,0.511607073691435,2.526,0.05,1,0.443207999958682,-2.21659725965571,-4.30806602347489,-2.15284340708434,3.08998999139799,-0.0328589888828394
"15",1.966,5.35454238310009,0.513065217101764,2.526,0.05,1,0.370247941364454,-2.21153084606059,-4.37919874798899,-2.15264956325049,3.08622241992375,-0.03236607617781
