"","radtime","narrow.band","qrad.narrow","wide.band","qrad.wide"
"1",-5.01,0,0,-2.83063200000005e-08,-0.0164609113666669
"2",-5,0,0,-2.83063200000005e-08,-0.0164609113666669
"3",-4.99,0,0,-2.83063200000005e-08,-0.0164609113666669
"4",-4.98,0,0,-2.83063200000005e-08,-0.0164609113666669
"5",-4.97,0,0,-2.83063200000005e-08,-0.0164609113666669
"6",-4.96,0,0,3.62125680000003e-07,0.210586141966668
"7",-4.95,0,0,-2.83063200000005e-08,-0.0164609113666669
"8",-4.94,0,0,2.15713680000001e-07,0.125443496966667
"9",-4.93,0,0,1.66909680000004e-07,0.0970626153000026
"10",-4.92,0,0,-2.83063200000005e-08,-0.0164609113666669
"11",-4.91,0,0,-2.83063200000005e-08,-0.0164609113666669
"12",-4.9,0,0,-2.83063200000005e-08,-0.0164609113666669
"13",-4.89,0,0,-2.83063200000005e-08,-0.0164609113666669
"14",-4.88,0,0,-2.83063200000005e-08,-0.0164609113666669
"15",-4.87,0,0,-2.83063200000005e-08,-0.0164609113666669
"16",-4.86,0,0,1.66909680000004e-07,0.0970626153000026
"17",-4.85,0,0,1.66909680000004e-07,0.0970626153000026
"18",-4.84,0,0,1.66909680000004e-07,0.0970626153000026
"19",-4.83,0,0,-2.83063200000005e-08,-0.0164609113666669
"20",-4.82,0,0,-2.83063200000005e-08,-0.0164609113666669
"21",-4.81,0,0,-2.83063200000005e-08,-0.0164609113666669
"22",-4.8,0,0,-2.83063200000005e-08,-0.0164609113666669
"23",-4.79,0,0,-2.83063200000005e-08,-0.0164609113666669
"24",-4.78,0,0,-2.83063200000005e-08,-0.0164609113666669
"25",-4.77,0,0,-2.83063200000005e-08,-0.0164609113666669
"26",-4.76,0,0,-2.83063200000005e-08,-0.0164609113666669
"27",-4.75,0,0,-2.83063200000005e-08,-0.0164609113666669
"28",-4.74,0,0,-2.83063200000005e-08,-0.0164609113666669
"29",-4.73,0,0,-2.83063200000005e-08,-0.0164609113666669
"30",-4.72,0,0,-2.83063200000005e-08,-0.0164609113666669
"31",-4.71,0,0,-2.83063200000005e-08,-0.0164609113666669
"32",-4.7,0,0,-2.83063200000005e-08,-0.0164609113666669
"33",-4.69,0,0,-2.83063200000005e-08,-0.0164609113666669
"34",-4.68,0,0,-2.83063200000005e-08,-0.0164609113666669
