"","time","d2_bw1","k_bw1","UD2_1","UD2_2","U_K","do","mf_xe","p_atm","x_loc_fit","x_vel_fit","y_loc_fit","y_vel_fit","tot_vel_fit","x_acc_fit","y_acc_fit","tot_acc_fit","vRatio"
"1",0,7.71454902604308,-0.273004437466175,0.167994859306397,0.236955085941147,0.843752686545882,2.782,0.25,1,0.00732850245680826,-0.452298192435324,-0.00529119132500457,-1.87971672653307,1.93336717332442,0.415840494266476,0.156019553248378,0.444145716705239,1
"2",0.033,7.72321155378315,-0.268187830720151,0.169537306580525,0.238051125438589,0.804397280173916,2.782,0.25,1,-0.00698054398732351,-0.443971002422155,-0.067756799716684,-1.86737857785031,1.91943038529819,0.434338893430265,0.131363979197172,0.453769511290416,0.992791442712733
"3",0.067,7.73198504991909,-0.263200852249127,0.168308681101064,0.237177680513955,0.763311460289342,2.782,0.25,1,-0.0215560105640811,-0.434415416331135,-0.131500136246572,-1.85653199372705,1.90667978372833,0.453649350068693,0.107716728834382,0.466262400895169,0.986196419405317
"4",0.1,7.74035319949536,-0.258335197037074,0.170222572740009,0.238539649262398,0.723050839890838,2.782,0.25,1,-0.0355025191891849,-0.424154244549113,-0.192865503417425,-1.84771956624957,1.89577805100453,0.472507723102455,0.0866531606708415,0.480387675368252,0.980557690831556
"5",0.133,7.74857592617105,-0.253442929875574,0.169042722149332,0.237699141587967,0.682549696120059,2.782,0.25,1,-0.0492109621600289,-0.41289409090455,-0.253824434471754,-1.84048391233522,1.88622972139362,0.491349170184503,0.0676126608400284,0.495979313023103,0.97561898609784
"6",0.167,7.75689528902995,-0.248372864897005,0.169952392293459,0.238346922879801,0.640712391967273,2.782,0.25,1,-0.0630403689039966,-0.400232528048609,-0.316293867695673,-1.83454254568858,1.8776933797747,0.510604829941061,0.0502573958685682,0.513072215383595,0.971203714267064
"7",0.2,7.76482138579148,-0.243421583128444,0.170302354515783,0.238596588310939,0.60013720597312,2.782,0.25,1,-0.0761312544902555,-0.386912274336152,-0.376678776821834,-1.8300988077832,1.87055145726641,0.529008426729766,0.0357221057706869,0.530213149961215,0.967509681076251
"8",0.233,7.77260049660289,-0.238438794912629,0.170420825920387,0.23868116370461,0.559726442787318,2.782,0.25,1,-0.0888490060905516,-0.372586789780255,-0.436891441515998,-1.82680286285456,1.86441133220445,0.547003688091559,0.0235417384091026,0.547510043956356,0.964333809908749
"9",0.267,7.78046083756561,-0.233270379693684,0.17154463366626,0.239484866619357,0.518399772038529,2.782,0.25,1,-0.101513296217725,-0.356799396482124,-0.498814437979899,-1.82443662327655,1.85899833288864,0.564993127085358,0.0135002086817587,0.565154394204046,0.961534031682193
"10",0.3,7.7879391818464,-0.228218753138809,0.171235260489894,0.239263357903048,0.47871762432846,2.782,0.25,1,-0.113332748786882,-0.340512855270966,-0.55885997577849,-1.82296905778334,1.85449863581515,0.581809996843326,0.00619048424003153,0.581842929425079,0.959206642898741
