"","time","d2_bw1","k_bw1","do","mf_xe","p_atm","x_loc_fit","x_vel_fit","y_loc_fit","y_vel_fit","tot_vel_fit","brnratederiv"
"1",1.5,3.15091062668467,0.420153625534731,1.744,0.25,1,-1.11827438435813,-2.07332693877145,4.40355623985506,3.04735217136989,3.68578890488701,-0.13625054831027
"2",1.533,3.1383283781678,0.429033278371397,1.744,0.25,1,-1.18764642986491,-2.04465994399552,4.50296985225603,3.00043296830071,3.63087211064306,-0.132075847951832
"3",1.566,3.12534405764402,0.437675746729617,1.744,0.25,1,-1.25595227935098,-2.01622056784459,4.60098008921919,2.95252456948362,3.57526876075128,-0.12790770683563
"4",1.6,3.11155624338952,0.446330395912573,1.744,0.25,1,-1.3252027954883,-1.98719304971601,4.70042302785517,2.90220680378391,3.51734851113296,-0.123622785825
"5",1.633,3.0977863948413,0.454486827489025,1.744,0.25,1,-1.39131290352831,-1.95933157231351,4.79538382993371,2.85252054498105,3.46061463757575,-0.119475693649576
"6",1.666,3.08364522237863,0.46240222595455,1.744,0.25,1,-1.45632344263788,-1.93183630774957,4.88874874191055,2.80208449662209,3.40347896220167,-0.115342706328169
"7",1.7,3.06869826903177,0.470304631119585,1.744,0.25,1,-1.52214062977842,-1.90396592765791,4.98321207389412,2.74943229343717,3.34431819507018,-0.111101779624434
"8",1.733,3.05383570795922,0.477728741861837,1.744,0.25,1,-1.58488047880153,-1.87744625549794,5.07316051348786,2.69776094313637,3.28674893300284,-0.107004810285915
"9",1.766,3.03863413476421,0.484910474082395,1.744,0.25,1,-1.6464850661875,-1.8515481534854,5.16134599185684,2.64563472757931,3.22918157997484,-0.102929125229949
"10",1.8,3.02262886004091,0.492056420591956,1.744,0.25,1,-1.70876037282832,-1.82563233184507,5.25030914581565,2.59156867269913,3.17004126099229,-0.098754597933858
"11",1.833,3.00677265522791,0.498746584769935,1.744,0.25,1,-1.76803820932814,-1.80134975658714,5.3347718403904,2.53886116145846,3.11298521402186,-0.0947290662362397
"12",1.866,2.99061076764231,0.505195408156062,1.744,0.25,1,-1.82616725568664,-1.77806190812481,5.41733889337362,2.48604740912072,3.05645805950618,-0.090731546501263
"13",1.9,2.97365116848235,0.511588117000257,1.744,0.25,1,-1.88486178475581,-1.75526347008439,5.50038866774536,2.43165540490084,2.99898280381801,-0.0866444151404685
"14",1.933,2.95690293157774,0.517549774955563,1.744,0.25,1,-1.94068131476798,-1.73445570106618,5.57900553365624,2.37901931561907,2.9441585356515,-0.0827101923475243
"15",1.966,2.9398828319887,0.523273351490332,1.744,0.25,1,-1.99538896410509,-1.71511449906909,5.65563739058859,2.32667455960305,2.89050726538112,-0.0788101876138599
"16",2,2.92207444120616,0.52892297608824,1.744,0.25,1,-2.0506212303815,-1.69690181051352,5.73249578539075,2.27319690231369,2.83670582035089,-0.0748298222507099
"17",2.033,2.90453675997641,0.53416810958306,1.744,0.25,1,-2.10316780143334,-1.68106899387469,5.80504688802464,2.22188047930719,2.78617045898007,-0.07100514148872
"18",2.066,2.8867610317709,0.539180448465978,1.744,0.25,1,-2.1547175256877,-1.66723252988015,5.87557560962492,2.17129344566478,2.73754991477368,-0.067220310404929
"19",2.1,2.86820937337555,0.544103469433481,1.744,0.25,1,-2.20684929286496,-1.65525261973276,5.9461268982381,2.12009630198555,2.68973410671482,-0.0633642895324342
