expname,fuel,p,do,fiber,O2,He,CO2,N2,H2O,Hep,Methanol,Xe,D,tdelay,tofc
304R002,Methanol,1.014,2.49,No,0.12569,0,0.00018,0.86922,0.00036,0.00059,0.00396,0,0,0,0
053R001,Methanol,0.707,3.08,No,0.24997,0,0.14928,0.60049,0.00023,0,0.00002,0,0,0,0
053F001,Methanol,0.707,3.79,No,0.24947,0,0.14951,0.60027,0.00079,0,0,0,0,0,0
061F002,Heptane,0.705,3.46,No,0.24744,0,0.15038,0.59942,0.0025,0.00028,0,0,0,0,0
C08H101,Heptane,0.702,3.59,No,0.2353,0,0.2031,0.55784,0.00345,0.00034,0,0,0,0,0
C08M101,Methanol,0.702,4.29,No,0.23327,0,0.20377,0.55685,0.00487,0.00039,0.00085,0,0,0,0
C09M201,Methanol,0.706,3.67,No,0.23264,0,0.25048,0.51658,0.00024,0,0.00005,0,0,0,0
C09M101,Methanol,0.703,4.34,No,0.23198,0,0.25051,0.51606,0.00081,0,0.00064,0,0,0,0
C09H101,Heptane,0.706,4.27,No,0.23095,0,0.25273,0.51571,0.00061,0.00001,0,0,0,0,0
C10H101,Heptane,0.703,3.69,No,0.20873,0,0.30132,0.48818,0.00172,0.00005,0,0,0,0,0
C08M201,Methanol,0.703,3.66,No,0.23306,0,0.20386,0.55676,0.0051,0.00039,0.00084,0,0,0,0
C10M102,Methanol,0.706,3.62,No,0.20959,0,0.30016,0.48681,0.00055,0,0.00288,0,0,0,0
C10M201,Methanol,0.707,2.88,No,0.20933,0,0.30016,0.48661,0.00079,0,0.00311,0,0,0,0
C11M101,Methanol,0.703,4.26,No,0.1981,0,0.35064,0.44574,0.00195,0,0.00356,0,0,0,0
C11M201,Methanol,0.704,3.28,No,0.19787,0,0.35067,0.44562,0.00219,0,0.00366,0,0,0,0
C11H101,Heptane,0.699,3.89,No,0.19612,0,0.35101,0.44488,0.00357,0.0006,0.00383,0,0,0,0
C12M101,Methanol,0.692,4.33,No,0.17784,0,0.3998,0.41918,0.00122,0.00021,0.00174,0,0,0,0
C12M201,Methanol,0.699,3.57,No,0.17764,0,0.39984,0.41909,0.00145,0.00021,0.00177,0,0,0,0
C13M103,Methanol,0.707,3.7,No,0.16822,0,0.44856,0.37986,0.00079,0,0.00259,0,0,0,0
C13M201,Methanol,0.706,2.89,No,0.16809,0,0.44855,0.37979,0.00092,0,0.00265,0,0,0,0
C13H102,Heptane,0.706,3.43,No,0.16672,0,0.44861,0.37923,0.0019,0.00022,0.00332,0,0,0,0
C21H101,Heptane,1.005,1.89,No,0.23872,0,0.20044,0.55913,0.00076,0.00021,0.00073,0,0,0,0
C21H201,Heptane,1.006,2.77,No,0.23844,0,0.20057,0.55905,0.00094,0.00026,0.00073,0,0,0,0
C21H301,Heptane,1.009,3.32,No,0.238,0,0.20078,0.55895,0.00123,0.0003,0.00073,0,0,0,0
C21H401,Heptane,1.009,3.8,No,0.23735,0,0.2011,0.5588,0.00166,0.00036,0.00073,0,0,0,0
C21H302,Heptane,1.011,3.2,No,0.23649,0,0.20154,0.55861,0.00223,0.0004,0.00073,0,0,0,0
C21H303,Heptane,1.011,3.25,No,0.23606,0,0.20176,0.55853,0.00251,0.0004,0.00073,0,0,0,0
C21H304,Heptane,1.011,3.2,No,0.23563,0,0.20198,0.55846,0.0028,0.0004,0.00073,0,0,0,0
C21H305,Heptane,1.011,1.99,No,0.23558,0,0.20199,0.55841,0.00282,0.00047,0.00073,0,0,0,0
C14M101,Methanol,0.702,4.05,No,0.14934,0,0.49795,0.35217,0.00055,0,0,0,0,0,0
C14M201,Methanol,0.703,2.94,No,0.14914,0,0.49798,0.35211,0.00079,0,0,0,0,0,0
C14M301,Methanol,0.704,1.88,No,0.14908,0,0.49799,0.35209,0.00086,0,0,0,0,0,0
C14M302,Methanol,0.704,2.33,No,0.14902,0,0.49799,0.35207,0.00093,0,0,0,0,0,0
C01M101,Methanol,1.002,3.64,No,0.19935,0,0.05025,0.74902,0.00027,0,0.00111,0,0,0,0
C01M201,Methanol,1.004,3.38,No,0.19916,0,0.05032,0.74879,0.00044,0,0.00129,0,0,0,0
C01M301,Methanol,1.006,4.42,No,0.19866,0,0.05057,0.74845,0.00099,0,0.00133,0,0,0,0
C13M102,Methanol,0.705,3.13,No,0.1687,0,0.44846,0.38001,0.00023,0,0.0026,0,0,0,0
C01H101,Heptane,1.006,2.66,No,0.19804,0,0.05093,0.74831,0.00142,0,0.00133,0,0,0,0
C01H201,Heptane,1.008,2.37,No,0.19777,0,0.05109,0.74825,0.0016,0,0.00133,0,0,0,0
C01H302,Heptane,1.01,3.26,No,0.19713,0,0.05145,0.74807,0.00202,0,0.00133,0,0,0,0
C03M101,Methanol,1.003,3.9,No,0.17934,0,0.14841,0.67118,0.0004,0,0.00068,0,0,0,0
C03M201,Methanol,1.007,3.41,No,0.17918,0,0.14847,0.67107,0.00056,0,0.00071,0,0,0,0
C03M301,Methanol,1.008,2.8,No,0.17913,0,0.14848,0.67101,0.00061,0,0.00077,0,0,0,0
C03H101,Heptane,1.003,3.76,No,0.17848,0,0.14883,0.67083,0.00105,0.00005,0.00077,0,0,0,0
C03H201,Heptane,1.007,2.84,No,0.17821,0,0.14897,0.67077,0.00123,0.00005,0.00077,0,0,0,0
C03H301,Heptane,1.007,2.3,No,0.17821,0,0.14897,0.67076,0.00123,0.00006,0.00077,0,0,0,0
C03H401,Heptane,1.008,2.02,No,0.17797,0,0.1491,0.6707,0.0014,0.00007,0.00077,0,0,0,0
C05M101,Methanol,1.003,4.31,No,0.15961,0,0.24647,0.59336,0.00039,0,0.00017,0,0,0,0
C05M201,Methanol,1.006,3.78,No,0.15937,0,0.24654,0.59322,0.00065,0,0.00022,0,0,0,0
C05M301,Methanol,1.007,2.71,No,0.15932,0,0.24654,0.59317,0.00069,0,0.00027,0,0,0,0
C05M401,Methanol,1.01,2.81,No,0.15924,0,0.24656,0.5931,0.00079,0,0.00031,0,0,0,0
C06M101,Methanol,1.004,3.79,No,0.14532,0,0.3178,0.53641,0.00037,0,0.0001,0,0,0,0
C06M201,Methanol,1.006,3.07,No,0.14518,0,0.31783,0.53633,0.00052,0,0.00013,0,0,0,0
C06M301,Methanol,1.008,2.59,No,0.1451,0,0.31785,0.53629,0.00061,0,0.00015,0,0,0,0
C06M401,Methanol,1.008,2.69,No,0.14502,0,0.31787,0.53624,0.0007,0,0.00017,0,0,0,0
