expname,fuel,p,do,fiber,O2,He,CO2,N2,H2O,Hep,Methanol,Xe,D,tdelay,tofc
X168M03,Methanol,1,1.542,No,0.07,0,0,0.25,0,0,0,0.69,0,0,0
X170H01,Heptane,0.7,3.433,No,0.07,0,0,0.25,0,0,0,0.69,0,0,0
X170H02,Heptane,0.7,2.649,No,0.07,0,0,0.25,0,0,0,0.69,0,0,0
X170H04,Heptane,0.7,1.823,No,0.14,0,0,0.33,0,0,0,0.53,0,0,0
X177H01,Heptane,0.7,3.18,No,0.12,0,0,0.27,0,0,0,0.61,0,0,0
X177H02,Heptane,0.7,2.216,No,0.12,0,0,0.27,0,0,0,0.61,0,0,0
X177H03,Heptane,0.7,1.42,No,0.12,0,0,0.27,0,0,0,0.61,0,0,0
X177H04,Heptane,0.7,1.487,No,0.1,0,0,0.26,0,0,0,0.64,0,0,0
X177H05,Heptane,0.7,2.295,No,0.1,0,0,0.26,0,0,0,0.64,0,0,0
X177H06,Heptane,0.7,1.445,No,0.1,0,0,0.26,0,0,0,0.64,0,0,0
X177H07,Heptane,0.7,1.811,No,0.1,0,0,0.26,0,0,0,0.64,0,0,0
X177H08,Heptane,0.7,1.233,No,0.1,0,0,0.26,0,0,0,0.64,0,0,0
X177H12,Heptane,0.7,1.297,No,0.1,0,0,0.26,0,0,0,0.64,0,0,0
X168M05,Methanol,0.7,3.191,No,0.17,0,0,0.38,0,0,0,0.45,0,0,0
X168M06,Methanol,0.7,3.647,No,0.17,0,0,0.38,0,0,0,0.45,0,0,0
X168M07,Methanol,0.7,2.273,No,0.17,0,0,0.38,0,0,0,0.45,0,0,0
X175M01,Methanol,0.7,4.223,No,0.14,0,0,0.33,0,0,0,0.53,0,0,0
X175M02,Methanol,0.7,4.638,No,0.14,0,0,0.33,0,0,0,0.53,0,0,0
X175M03,Methanol,0.7,4.954,No,0.14,0,0,0.33,0,0,0,0.53,0,0,0
X175M04,Methanol,0.7,3.952,No,0.12,0,0,0.28,0,0,0,0.6,0,0,0
X175M05,Methanol,0.7,3.084,No,0.12,0,0,0.28,0,0,0,0.6,0,0,0
X175M06,Methanol,0.7,2.213,No,0.12,0,0,0.28,0,0,0,0.6,0,0,0
X182M01,Methanol,0.7,3.231,No,0.12,0,0,0.28,0,0,0,0.6,0,0,0
C077D01,Pro95/Gly5,1,3.341,No,0.4,0.6,0,0,0,0,0,0,1.29131816055048E-08,4.1167,12.22
C077D02,Pro95/Gly5,1,3.444,No,0.4,0.6,0,0,0,0,0,0,1.45173003989299E-08,6.4167,15
C077D03,Pro95/Gly5,1,4.577,No,0.4,0.6,0,0,0,0,0,0,1.64447552609965E-08,6.65,23.4
C077D04,Pro95/Gly5,1,4.611,No,0.4,0.6,0,0,0,0,0,0,1.54251365249363E-08,5.9667,23.2
C077D06,Pro95/Gly5,1,3.526,No,0.4,0.6,0,0,0,0,0,0,1.25025229177158E-08,6.1167,15
C080D01,Pro95/Gly5,3,3.4,No,0.4,0.6,0,0,0,0,0,0,2.32111372518814E-08,6.9667,16
C080D02,Pro95/Gly5,3,-,No,0.4,0.6,0,0,0,0,0,0,0,0,0
C080D03,Pro95/Gly5,3,-,No,0.4,0.6,0,0,0,0,0,0,0,0,0
C080D04,Pro95/Gly5,3,-,No,0.4,0.6,0,0,0,0,0,0,0,0,0
C080D05,Pro95/Gly5,3,2.271,No,0.4,0.6,0,0,0,0,0,0,5.13564323746373E-08,1.9333,5.9
C085D01,Pro95/Gly5,3,-,No,0.25,0.75,0,0,0,0,0,0,0,0,0
C085D02,Pro95/Gly5,3,-,No,0.25,0.75,0,0,0,0,0,0,0,0,0
C085D03,Pro95/Gly5,3,2.18,No,0.25,0.75,0,0,0,0,0,0,9.85860360375878E-09,1.4,5
C085D04,Pro95/Gly5,3,-,No,0.25,0.75,0,0,0,0,0,0,0,0,0
C101D01,Pro95/Gly5,1,-,No,0.25,0.75,0,0,0,0,0,0,0,0,0
C101D02,Pro95/Gly5,1,3.61,No,0.25,0.75,0,0,0,0,0,0,3.90979969268867E-09,4.1333,12
C101D03,Pro95/Gly5,3,-,No,0.25,0.75,0,0,0,0,0,0,0,0,0
C101D04,Pro95/Gly5,1,-,No,0.25,0.75,0,0,0,0,0,0,0,0,0
C101D05,Pro95/Gly5,1,2.646,No,0.25,0.75,0,0,0,0,0,0,9.14420168766072E-09,4.1833,9.5
C101D06,Pro95/Gly5,1,3.908,No,0.25,0.75,0,0,0,0,0,0,3.81685441787765E-09,4.6333,11.5
C104D01,Pro95/Gly5,1,-,No,0.2,0,0,0.8,0,0,0,0,0,0,0
C104D02,Pro95/Gly5,1,-,No,0.2,0,0,0.8,0,0,0,0,0,0,0
C104D05,Pro95/Gly5,1,2.302,No,0.2,0,0,0.8,0,0,0,0,6.7639194058355E-09,1.1333,9.767
C104D06,Pro95/Gly5,1,3.803,No,0.2,0,0,0.8,0,0,0,0,6.11160234783227E-10,1,11.5
C108D01,Pro95/Gly5,1,2.9,No,0.3,0,0,0.7,0,0,0,0,1.18124469413622E-08,4.5333,16
C108D02,Pro95/Gly5,1,3.474,No,0.3,0,0,0.7,0,0,0,0,1.04539076297145E-08,4.1833,21.9
C108D03,Pro95/Gly5,1,2.855,No,0.3,0,0,0.7,0,0,0,0,7.69481863781125E-09,4.2,15
C108D04,Pro95/Gly5,1,3.055,No,0.3,0,0,0.7,0,0,0,0,6.5335272234694E-09,4.1333,16
C108D05,Pro95/Gly5,1,,No,0.3,0,0,0.7,0,0,0,0,0,0,0
