"","time","d2_bw1","k_bw1","do","mf_xe","p_atm","x_loc_fit","x_vel_fit","y_loc_fit","y_vel_fit","tot_vel_fit","brnratederiv"
"1",1.5,13.0543548394367,0.166035037902428,3.532,0.1,1,-0.186406674813803,-0.532468623991689,0.347311380720228,0.391568896975241,0.660945562519342,-0.100701609891216
"2",1.533,13.0491006098546,0.170252768823104,3.532,0.1,1,-0.203958645144226,-0.531087213957186,0.360209397940601,0.390279123746946,0.659068602849119,-0.0998574347087461
"3",1.567,13.0435158109131,0.174538849543677,3.532,0.1,1,-0.221995959783251,-0.529652669714942,0.373453561076389,0.38895318261255,0.657127482913777,-0.0989986099654044
"4",1.6,13.037932099379,0.178642719739849,3.532,0.1,1,-0.239456767146668,-0.528250066593547,0.386265064079278,0.387668668730246,0.655236697362998,-0.0981750528878732
"5",1.633,13.0321906225044,0.182692750624065,3.532,0.1,1,-0.256871412089272,-0.526838327926767,0.399034332307274,0.386386141734196,0.653339784719184,-0.0973607676145686
"6",1.667,13.0261131366049,0.186810667915265,3.532,0.1,1,-0.274764591395479,-0.525375550328528,0.412146624117223,0.385066370573477,0.651379749938263,-0.0965308979460134
"7",1.7,13.0200599237201,0.190755600366898,3.532,0.1,1,-0.292082902291594,-0.523949303848142,0.424830862325015,0.383786494273477,0.649472821748284,-0.0957336789933831
"8",1.733,13.013857174477,0.194650710769659,3.532,0.1,1,-0.309352520948059,-0.522518411588303,0.437473555200957,0.382507129275208,0.647562502307788,-0.0949440165326235
"9",1.767,13.0073127093684,0.198613008861094,3.532,0.1,1,-0.327093729639827,-0.521041371198527,0.450456120957124,0.381188876979888,0.645592030955796,-0.0941377494986501
"10",1.8,13.0008139692063,0.202410579822974,3.532,0.1,1,-0.344262217355259,-0.519607289972318,0.463015064819802,0.379908566939174,0.643678689274512,-0.0933617543817074
"11",1.833,12.9941730037699,0.20616176232382,3.532,0.1,1,-0.361379930300833,-0.518175108333077,0.475533003943267,0.378626654846623,0.641765990573153,-0.0925916883827836
"12",1.867,12.9871844013246,0.20997916442769,3.532,0.1,1,-0.378962720664173,-0.516704168612827,0.488387507088823,0.377303319388031,0.639797618535033,-0.0918039459662955
"13",1.9,12.9802614633053,0.213639205941692,3.532,0.1,1,-0.395975904862534,-0.515283709886674,0.500822494557572,0.376015458112545,0.637890998850243,-0.0910443519822174
"14",1.933,12.9732028275217,0.217255735404249,3.532,0.1,1,-0.41293713919267,-0.513873141300475,0.513216666853442,0.374723212378515,0.635989851526966,-0.0902891721053018
"15",1.967,12.9657904827602,0.22093722634176,3.532,0.1,1,-0.430357881317882,-0.512433162693102,0.525943667798638,0.373386145830092,0.63403861091065,-0.0895152269068404
"16",2,12.9584624356142,0.224467917098562,3.532,0.1,1,-0.447213400906191,-0.511051431490572,0.5382547099714,0.372081845425487,0.632153830427214,-0.0887675753839011
"17",2.033,12.951004565284,0.227957451727074,3.532,0.1,1,-0.464017033630873,-0.509688288097276,0.550524513714182,0.370770040404065,0.63027975842856,-0.0880229580721145
"18",2.067,12.9431868339343,0.231510392353529,3.532,0.1,1,-0.481275944037545,-0.50830633580932,0.563122664071968,0.36940957761619,0.628361971365605,-0.0872585042769403
"19",2.1,12.9354709156142,0.23491837836599,3.532,0.1,1,-0.497975399628433,-0.506989798798466,0.575307668440237,0.368079521678924,0.626515115831289,-0.0865187673776408
"20",2.133,12.9276305199213,0.238287089435108,3.532,0.1,1,-0.514624438626574,-0.505700491395578,0.587450174983721,0.366739147784533,0.624684391925598,-0.0857808404303842
"21",2.167,12.9194241057728,0.241717359302262,3.532,0.1,1,-0.531726107683121,-0.504403465848537,0.599915531626431,0.365346603868649,0.622816985412546,-0.0850220578224583
"22",2.2,12.9113360710946,0.245007900622532,3.532,0.1,1,-0.548275402335771,-0.503177698936313,0.611969741227451,0.363983226664373,0.621024625920624,-0.0842866980524644
"23",2.233,12.9031284912524,0.248260626810272,3.532,0.1,1,-0.56477715931715,-0.50198706610478,0.623979267739323,0.362607855861434,0.619253963789422,-0.0835520973846388
"24",2.267,12.8945488054688,0.251572790578124,3.532,0.1,1,-0.581730557846765,-0.500799586207968,0.636305021368438,0.361178097733,0.617454325297103,-0.0827957067760743
"25",2.3,12.8861032642306,0.254749929422539,3.532,0.1,1,-0.598139743491664,-0.499687367716493,0.648220940207489,0.359778145602635,0.615733529628449,-0.082061727667258
"26",2.333,12.8775428004639,0.257890350853486,3.532,0.1,1,-0.614505531881658,-0.498616942166325,0.660089182047798,0.358366488673989,0.614040222802888,-0.0813276447697026
"27",2.367,12.8686042861758,0.261087843154784,3.532,0.1,1,-0.631323556524824,-0.497559765341935,0.672266027290957,0.356900490505231,0.612326449053114,-0.08057095338139
"28",2.4,12.8598150056886,0.264154588072609,3.532,0.1,1,-0.647606267362801,-0.496579762644396,0.684034018129084,0.355467351301704,0.610695094551622,-0.0798359399834685
"29",2.433,12.8509152069175,0.267185414505659,3.532,0.1,1,-0.663850727706435,-0.495646689592939,0.695750887836119,0.354025366899821,0.609097366036821,-0.0791001587875031
"30",2.467,12.8416316237631,0.270270737342872,3.532,0.1,1,-0.680549410736193,-0.49473584983853,0.707768140330879,0.352532080863211,0.607488624710948,-0.0783410943119266
"31",2.5,12.8325117910927,0.273229257522088,3.532,0.1,1,-0.696722022450212,-0.493902032011202,0.71937774842488,0.351077242224973,0.605965714568974,-0.0776032423388233
"32",2.533,12.8232857030983,0.276152424641879,3.532,0.1,1,-0.712862227953507,-0.493118725854809,0.730932923547217,0.349619187400013,0.604482964182545,-0.0768641644061882
"33",2.567,12.8136703678726,0.279127350978049,3.532,0.1,1,-0.729459780021696,-0.492365427730242,0.742780330064608,0.348116151382232,0.602999642849945,-0.0761012967270932
"34",2.6,12.8042328085715,0.281979174450706,3.532,0.1,1,-0.745540465976065,-0.491687190252715,0.75422222434128,0.346659294483017,0.601605318718238,-0.0753594294471898
"35",2.633,12.7946931779231,0.284796041969935,3.532,0.1,1,-0.761594983585901,-0.491061665665341,0.765607239657854,0.345207307403185,0.600257981680024,-0.0746160866589735
"36",2.667,12.7847591590656,0.287661818998647,3.532,0.1,1,-0.778110851025092,-0.490472817749013,0.777277253631505,0.343719671393521,0.598921361660716,-0.0738486364673436
"37",2.7,12.7750165107064,0.29040802842357,3.532,0.1,1,-0.794118709215751,-0.489955659949121,0.78854550911186,0.342287203455038,0.597676399371139,-0.0731022086854533
"38",2.733,12.7651759432698,0.293119573699279,3.532,0.1,1,-0.810106784223961,-0.48949233669545,0.799756064783361,0.340869340162332,0.596485251071873,-0.0723542628679488
"39",2.767,12.7549362085002,0.295877119366036,3.532,0.1,1,-0.826560884584702,-0.48907148005529,0.81124619744139,0.33942735884559,0.595316591853751,-0.0715820966847492
"40",2.8,12.7449010488447,0.298518539233897,3.532,0.1,1,-0.842515281945169,-0.488717968037855,0.822340494976512,0.338049554413541,0.594241325996639,-0.0708311854314558
"41",2.833,12.7347721231945,0.301125540357573,3.532,0.1,1,-0.858456277673924,-0.488418659996491,0.833378517232361,0.336696566992825,0.593226234802138,-0.0700789146171956
"42",2.867,12.724239641128,0.303775627055762,3.532,0.1,1,-0.874868530329159,-0.488166978404042,0.844693252894883,0.335331968431741,0.592245327424741,-0.0693025260011853
"43",2.9,12.7139245722116,0.306312996591686,3.532,0.1,1,-0.890788756866956,-0.48797768321137,0.855620475666787,0.334039215600532,0.591358112205586,-0.0685478077943455
"44",2.933,12.7035199096774,0.308816199424124,3.532,0.1,1,-0.906701918709582,-0.487842463539407,0.866495396481355,0.332780650325168,0.590536392158044,-0.067792079062461
"45",2.967,12.6927077076549,0.311359619403577,3.532,0.1,1,-0.923092115072993,-0.487759568747201,0.877647122493077,0.331522545987936,0.589759777708499,-0.0670125560207536
"46",3,12.6821253983774,0.31379374611774,3.532,0.1,1,-0.938997362736013,-0.487733700238377,0.888421832068454,0.330341393027969,0.589075205976179,-0.066255270789186
"47",3.033,12.6714576927074,0.31619401049249,3.532,0.1,1,-0.954901891533242,-0.487761388028319,0.899150604852234,0.329201735799851,0.58845981553964,-0.0654974998401343
"48",3.067,12.6603788743057,0.318631718368678,3.532,0.1,1,-0.971289856425592,-0.487845650250118,0.910159115980062,0.32807283726089,0.587898941159424,-0.0647164786682629
"49",3.1,12.6495420652438,0.320963608101506,3.532,0.1,1,-0.987199442545038,-0.487981200601599,0.920802559213874,0.327022582051316,0.587426098596315,-0.0639583806139348
"50",3.133,12.6386240759265,0.323262029381059,3.532,0.1,1,-1.00311476420307,-0.488169323889014,0.931408162361949,0.326018178426827,0.587023970082145,-0.0632004784079566
"51",3.167,12.6272918026203,0.325595258185442,3.532,0.1,1,-1.01952065810501,-0.488417644595355,0.942298612734241,0.325032039685715,0.586683579431307,-0.0624200843473175
"52",3.2,12.6162132776788,0.327826218569079,3.532,0.1,1,-1.03545431677528,-0.488710989713716,0.952836281761555,0.324122516433556,0.586424621862163,-0.0616633801693293
"53",3.233,12.6050577917834,0.33002422185995,3.532,0.1,1,-1.0514003445349,-0.48905522259489,0.963344891307419,0.323259864218309,0.586235405414733,-0.0609076870936494
"54",3.267,12.5934852339955,0.332254570270498,3.532,0.1,1,-1.06784487403774,-0.489462300339041,0.974144556580732,0.322419691477913,0.586112447322097,-0.0601304623266538
"55",3.3,12.5821777641706,0.334386285726536,3.532,0.1,1,-1.08382287416646,-0.489907360249523,0.984602825496139,0.32165069290166,0.586061762846522,-0.0593777373485485
"56",3.333,12.5707975321409,0.336485691285381,3.532,0.1,1,-1.09982001543641,-0.490400585638092,0.995040340381913,0.320926442891616,0.586077227113671,-0.0586269454898414
"57",3.367,12.5589977954202,0.338615180959358,3.532,0.1,1,-1.11632429941777,-0.490957881985361,1.00577504077717,0.320225693147656,0.586160503987985,-0.0578557651051789
"58",3.4,12.5474740603557,0.340649758609735,3.532,0.1,1,-1.13236715847797,-0.491545087491627,1.01617781567512,0.319588106634525,0.586304640045934,-0.0571098979584336
"59",3.433,12.5358817115195,0.342652818232454,3.532,0.1,1,-1.14843586055367,-0.492176373787253,1.0265667414768,0.318990702855035,0.586508867300674,-0.0563669621764598
"60",3.467,12.5238677438424,0.344683921457187,3.532,0.1,1,-1.16502077846189,-0.49287111254612,1.03725798429551,0.318415237747023,0.58677951328582,-0.0556049388708503
"61",3.5,12.5121402370314,0.346623908567761,3.532,0.1,1,-1.18114845128485,-0.493586528376903,1.04762436251898,0.317893508364356,0.587097899549438,-0.0548690055351541
"62",3.533,12.5003481806909,0.348533313975487,3.532,0.1,1,-1.19730822141805,-0.494340386719411,1.05798196481533,0.317405927996862,0.587468246860582,-0.0541370442028156
"63",3.567,12.4881326669206,0.350468953081242,3.532,0.1,1,-1.21399324296407,-0.495154969378266,1.06864560377928,0.316937021915424,0.587900943663649,-0.0533874226923835
"64",3.6,12.4762135903817,0.352317327812377,3.532,0.1,1,-1.23022385281188,-0.495979937425874,1.07898913448649,0.316512144998931,0.588367263077067,-0.0526645909299116
"65",3.633,12.4642339082691,0.354136193158644,3.532,0.1,1,-1.24649188761345,-0.496836201658918,1.08932724127215,0.316114857484998,0.588875890491046,-0.0519467774863678
"66",3.667,12.4518291576709,0.355979714227949,3.532,0.1,1,-1.26329359111646,-0.497748354731859,1.09997379946389,0.315732106583155,0.589440571869386,-0.0512128199418412
"67",3.7,12.4397303117543,0.35773985246558,3.532,0.1,1,-1.27964196433988,-0.498659914785579,1.11030324474034,0.315384224432801,0.590024507656285,-0.0505062355531922
