"","time","d2_bw1","k_bw1","UD2_1","UD2_2","U_K","do","mf_xe","p_atm","x_loc_fit","x_vel_fit","y_loc_fit","y_vel_fit","tot_vel_fit","vRatio"
"1",1.633,2.40546826453171,0.645092543859223,0.0859693431827201,0.187925964058371,0.729412675398962,1.636,"air",1.005,-0.0745550262084555,-0.715296030625943,-2.83527480213641,-0.786683204651693,1.0632586119615,1
"2",1.667,2.38376742457623,0.643122980252312,0.0863089222957305,0.188081551641437,0.693590014511653,1.636,"air",1.005,-0.100176543421524,-0.613364391618779,-2.86152870808168,-0.725704919470194,0.950191300238597,0.893659632331299
"3",1.7,2.36275752976542,0.64119108413097,0.0865926947391202,0.188211941125377,0.658388086973838,1.636,"air",1.005,-0.121297028625342,-0.516357336150865,-2.88509832687313,-0.66563882157032,0.842436905280355,0.792316089240255
"4",1.733,2.34180012839006,0.639238969057623,0.0869805459980574,0.188390698767535,0.622880904581684,1.636,"air",1.005,-0.138805500416905,-0.421250965559153,-2.90670878878561,-0.604807610497263,0.737051301945752,0.693200406424212
"5",1.767,2.32026317157173,0.637206248977176,0.0875064535116124,0.188634088664218,0.586105124956172,1.636,"air",1.005,-0.153149678219149,-0.32525406432715,-2.92684752747169,-0.541455282024992,0.631635993903208,0.594056786182966
"6",1.8,2.29941412835959,0.635212172420341,0.0878325206456798,0.188785570642922,0.550346201795346,1.636,"air",1.005,-0.163566295513221,-0.234017260315274,-2.9442570505506,-0.479442045199397,0.533506094464204,0.50176512888054
"7",1.833,2.27861932135412,0.633196921390839,0.0882227823905505,0.18896745575027,0.514642420935025,1.636,"air",1.005,-0.170608915289834,-0.144691990921586,-2.95949298925435,-0.41705886440665,0.441445204546404,0.415181405144725
"8",1.867,2.25725169342718,0.631098060696819,0.0887917893035149,0.18923377565255,0.478036673541425,1.636,"air",1.005,-0.174419166356631,-0.0546629555371186,-2.97284991875371,-0.352567323101663,0.356779702375465,0.335553080277694
"9",1.9,2.23656874263547,0.629038639224748,0.089188602385594,0.189420291403787,0.442798273652408,1.636,"air",1.005,-0.174853792940871,0.0307708604028761,-2.98348212012638,-0.289940187527636,0.291568445126515,0.274221569283724
"10",1.933,2.21594173992019,0.626956820934144,0.0895731940229714,0.189601680075565,0.407957367598333,1.636,"air",1.005,-0.172153470585603,0.114284120588071,-2.99176450131583,-0.227472186756005,0.254567193420809,0.239421708469574
